ParlaMint-GB_2016-04-27-commons.u1	1. What steps he is taking to increase democratic participation.
ParlaMint-GB_2016-04-27-commons.u12	Before the Minister does so, I am sure that the hon. Gentleman is concerned about the appointment process in the context of the drive to increase democratic participation.
ParlaMint-GB_2016-04-27-commons.u13	Indeed, Mr Speaker—yes. Social mobility in public appointments is very important for democratic participation.
ParlaMint-GB_2016-04-27-commons.u14	I am not sure how I link any kind of answer to democratic participation, but I none the less point out that we adhere consistently to the Nolan principles in everything that we do in this area.
ParlaMint-GB_2016-04-27-commons.u15	I appreciate the Minister’s answer to my creative question. I do not believe everything that I read in the papers, but this week it was revealed that the Culture Secretary had recommended five candidates for the position of trustee at the National Portrait Gallery. Three were Tory donors and one was a former Tory Minister. Is that a way of improving democratic participation for Tory cronies?
ParlaMint-GB_2016-04-27-commons.u16	I suspect that the hon. Gentleman is trying to raise a serious point, but this is an example of the principle of if you are in a hole, you should stop digging.
ParlaMint-GB_2016-04-27-commons.u17	2. What plans the Government have to increase the number of young people participating in the National Citizen Service.
ParlaMint-GB_2016-04-27-commons.u18	We have ambitious plans to make NCS a rite of passage for young people. We have committed more than £1 billion to grow the programme to reach the majority of 16-year-olds by 2021 and we would like NCS to benefit every young person, regardless of where they live in the United Kingdom. It is therefore extremely disappointing that there is currently no NCS programme in Scotland or Wales, despite the generous funding made available through the autumn spending review.
ParlaMint-GB_2016-04-27-commons.u19	Last summer, I was invited to a highly successful lunch event for veterans and others organised by a group of young people through the NCS scheme. This year, those on that scheme are running a social action project, which involves creating a sensory garden for young adults with learning difficulties. Does the Minister agree that the skills learnt through the programme—confidence building and teamwork—are making a real difference to young people in getting them into work and closing our skills gap?
ParlaMint-GB_2016-04-27-commons.u20	Indeed. It is absolutely true that NCS is creating a generation of more responsible and engaged young people. The skills that NCS participants in Taunton are developing are echoed widely around England and Northern Ireland. Indeed, 90% of participants say that NCS helps them develop key skills for the future. UCAS now recognises NCS, and taking part is becoming a sought-after addition to any young person’s CV.
ParlaMint-GB_2016-04-27-commons.u21	The Minister will know that I am a great supporter of NCS, but is it not underfunded? At the moment, we must be honest and admit that it reaches mostly into more affluent communities and not those with kids from poorer backgrounds. That is the truth and the Minister should do something about it.
ParlaMint-GB_2016-04-27-commons.u22	Two hundred thousand young people have been through the NCS programme so far and we are aiming to increase that number significantly by 2020. We have made £1 billion available to do that. We are doing extremely well on diversity: 21% of NCS participants are eligible for free school meals compared with the national average of 8%, and 27% of participants are from non-white backgrounds, compared with 19% throughout the country. We are therefore doing better than the national average.
ParlaMint-GB_2016-04-27-commons.u23	Order. The Government should have grouped this question with Question 4. For some reason, they did not do so, but I will take that question now.
ParlaMint-GB_2016-04-27-commons.u24	4. I am very grateful. The Minister is right that NCS is proving invaluable for young people across the country. In Dorset, there was recently a successful scheme called “From yard to garden” about replanting trees. I would be grateful if the Minister gave advice and guidance to Members of all parties about how they can get more involved in that excellent programme.
ParlaMint-GB_2016-04-27-commons.u25	I know that my hon. Friend is doing all he can to support the NCS in his constituency. Every Member can help by visiting a local NCS programme to raise awareness and ensuring that local schools and colleges encourage students to participate. The Secretary of State for Education and I will shortly write to all Members to highlight how everyone can make a contribution to NCS.
ParlaMint-GB_2016-04-27-commons.u26	Last summer, I visited an NCS scheme in Dukinfield in my constituency and I was hugely impressed by the work with young people, but many of those young people raised with me the wider cuts to youth services. Has the Minister conducted an impact assessment on how those cuts have affected the aims, ambitions and objectives of the NCS programme?
ParlaMint-GB_2016-04-27-commons.u27	That question gives me the opportunity to say how disappointed I am that local authorities choose to make cuts in their service provision. We are investing more than £1 billion in NCS in this Parliament and the overwhelming majority of that funding will flow through delivery organisations, most of which are public or VCSE—voluntary, community and social enterprise—organisations. Beyond that, we are also investing more widely in the youth sector through programmes such as Step Up To Serve and the British Youth Council, and supporting local authorities to reshape their youth provision.
ParlaMint-GB_2016-04-27-commons.u28	10. The Minister gave a statistic in response to the question asked by the hon. Member for Huddersfield (Mr Sheerman), but what steps is he taking to encourage NCS participation by young people from a black and minority ethnic background?
ParlaMint-GB_2016-04-27-commons.u29	I thank my hon. Friend for asking about the participation targets. It is really important that every young person—every 16-year-old—gets the opportunity to take part in NCS, because the programme not only creates a more cohesive society and adds to social mobility and social engagement, but delivers value for money. The statistics that I cited earlier show that it is a programme of which we, the Government and the whole country can be very proud.
ParlaMint-GB_2016-04-27-commons.u30	3. What assessment he has made of the potential effect of an anti-lobbying clause in Government grant agreements on the ability of charities to scrutinise Government policy.
ParlaMint-GB_2016-04-27-commons.u31	6. What assessment he has made of the compatibility of the proposed anti-lobbying clause in Government funding agreements with the terms of the Government’s compact with civil society organisations relating to campaigning.
ParlaMint-GB_2016-04-27-commons.u32	As set out earlier this month, we are continuing to work on this issue with charities, universities and others. The principle is clear: taxpayers’ money should not be wasted on Government lobbying Government.
ParlaMint-GB_2016-04-27-commons.u33	Will the Minister not admit that this policy is a mess? The Government have been forced into a U-turn by research scientists, so the clause will not apply to them. Will he undertake urgently to review the operation of the entire clause and, at the very least, commit to an ongoing review so that we can be sure that the freedom of speech of charities and other organisations is not undermined?
ParlaMint-GB_2016-04-27-commons.u34	As we have said, we are reviewing representations and we will take a decision on the form of the clause. We are pausing on implementation, but we are committed to ensuring that taxpayers’ money is used for the good causes for which it is intended and not wasted on Government lobbying Government.
ParlaMint-GB_2016-04-27-commons.u35	Six years after the Government promised to crack down on lobbyists, the big corporate lobbyists are free to lobby, in secret and anonymously, but the worthy charities are having their lives made a misery by new bureaucracy. Why do the Government consistently dabble in the shallows, worrying the minnows, while the big, fat salmon swim by unhindered?
ParlaMint-GB_2016-04-27-commons.u36	I am an enormous supporter of the work of charities, but I find it extraordinary that the hon. Gentleman seems to be a supporter of lobbyists using money only when it comes from taxpayers. I think that taxpayers’ money should be put to better use.
ParlaMint-GB_2016-04-27-commons.u37	Does my right hon. Friend agree that when our constituents give money to charity, they expect it to be used directly to help those disadvantaged people whom the charity claims to help, and that if they wanted it to be used for political lobbying, they would have made a donation to a political party?
ParlaMint-GB_2016-04-27-commons.u38	I could not have put it better myself.
ParlaMint-GB_2016-04-27-commons.u39	Does my right hon. Friend agree that when people donate money, they want that money to be spent on the services provided by the charity, and that most people in this country would be shocked at the amount of money spent on administration and lobbying?
ParlaMint-GB_2016-04-27-commons.u40	My hon. Friend makes an important point, which is that charities play an enormous role in alleviating suffering, improving good causes and strengthening our communities. Let us make sure that when money is donated to a charity—as it is by many of us, possibly everyone, in this House and many people around the country—it is spent on the good causes for which it is intended.
ParlaMint-GB_2016-04-27-commons.u41	The Government have succeeded in uniting the entire British voluntary sector against them, including household names such as the girl guides, Mencap and Oxfam. Indeed, their actions in trying to suppress debate and discussion are reminiscent of a totalitarian political culture. If voluntary organisations come across systemic child abuse or practices such as female genital mutilation, are you really saying that they should remain silent and not seek to influence Government, when a change in the law could outlaw such practices?
ParlaMint-GB_2016-04-27-commons.u42	I am not saying anything of the kind, but I will leave it to the Minister.
ParlaMint-GB_2016-04-27-commons.u43	And nor are we. It is an absurd suggestion. The principle that taxpayers’ money should not be used to lobby Government is perfectly reasonable and one that most people support.
ParlaMint-GB_2016-04-27-commons.u44	A leading board member of the Charity Commission has written an essay calling for the UK to leave the EU. That comes after the Charity Commission tried to clamp down on charities engaging in the EU debate. Is the Minister able to explain why the Charity Commission rule on campaigning appears to be, “Do as I say, not as I do”? I welcomed his clarification that charity voices should and could be heard on the issues that affect them, but it flies in the face of the Charity Commission’s recent gagging clauses. Will the Minister confirm that charities are now allowed to speak out, but only if they agree with him?
ParlaMint-GB_2016-04-27-commons.u45	No.
ParlaMint-GB_2016-04-27-commons.u46	5. What recent assessment the Government have made of the case for electoral reform.
ParlaMint-GB_2016-04-27-commons.u47	My hon. Friend will remember that in the last Parliament we held the alternative vote referendum, in which this country resoundingly rejected a proposal to abandon our tried and tested first-past-the-post system in favour of an alternative. I believe that we should respect that result and the clear democratic decision that it represents, and therefore we have no plans to change the voting system.
ParlaMint-GB_2016-04-27-commons.u48	Given that the British people voted overwhelmingly for first past the post, does my hon. Friend agree that, as with all referendums, the vote is final and settled, and that the Government are absolutely right to push ahead with delivering their vital manifesto commitments?
ParlaMint-GB_2016-04-27-commons.u49	As in many things, I could not have put it better myself.
ParlaMint-GB_2016-04-27-commons.u50	When it comes to electoral reform, in Northern Ireland we are closing all our electoral offices. Surely, part of electoral reform is trying to get more people involved, and closing electoral offices is the wrong way to do it.
ParlaMint-GB_2016-04-27-commons.u51	I will not trample on the purviews of the devolved Administrations and the Northern Ireland Office, but if the hon. Gentleman would like to write to me with more details, I would be happy to respond.
ParlaMint-GB_2016-04-27-commons.u52	Are the Government looking seriously at how the understandable security challenges of online voting might be overcome so that future generations of young people can vote online in this country safely and securely, thereby increasing voter registration and participation?
ParlaMint-GB_2016-04-27-commons.u53	My hon. Friend is absolutely right that online activity is an increasing part of our everyday lives, whether it be shopping or anything else. As technology improves and online voting becomes steadily more secure, it is something that we will need to continue to revisit. At the moment, the prospect of potentially stealing the Government of a country is too grave to allow online voting to happen.
ParlaMint-GB_2016-04-27-commons.u54	Does the Minister agree that we must do everything possible to bring power closer to people in every part of the country, and that a good start would be to make it easier for people to engage in politics?
ParlaMint-GB_2016-04-27-commons.u55	I absolutely agree. As I said in response to an earlier set of questions, there is a great deal that Governments can do, but there is also a great deal that political parties and others need to do, to engage the interest of the voters.
ParlaMint-GB_2016-04-27-commons.u56	7. What discussions he has had with industry leaders on increasing social mobility in the public and private sectors.
ParlaMint-GB_2016-04-27-commons.u57	I thank my hon. Friend for his question and for his work in the House on social mobility. In our mission to increase social mobility, we are working with a number of leading businesses and organisations on our plans to improve life chances across the nations. That includes the civil service pushing ahead with the delivery of more than 30,000 of the overall 3 million apprenticeship starts by 2020, introducing name-blind recruitment and leading the development of new national common measures of socioeconomic diversity for employers.
ParlaMint-GB_2016-04-27-commons.u58	As it is vital that the civil service reflects the society that it serves, will my right hon. Friend explain how the Government are acting on the recommendations made in the report of the Bridge group?
ParlaMint-GB_2016-04-27-commons.u59	My hon. Friend will be pleased to know that we are accepting every part of the recommendations of the Bridge report. He will know that we are the party of the ladder, the party of social mobility, the party of the living wage, the party of lower taxes for low earners and the party of millions of apprenticeships and millions of jobs.
ParlaMint-GB_2016-04-27-commons.u60	T1. If he will make a statement on his departmental responsibilities.
ParlaMint-GB_2016-04-27-commons.u61	The Cabinet Office is responsible for efficiency in reforming Government, transparency, civil society, digital technology, cyber-security and delivering the Government’s agenda.
ParlaMint-GB_2016-04-27-commons.u62	I commend my right hon. Friend for releasing vast amounts of Government data, which will improve transparency across Government. What further action can he take to ensure that performance improves, transparency is available to the general public and data are in a manageable form so that people can analyse them
ParlaMint-GB_2016-04-27-commons.u63	My hon. Friend is right that this is not only about releasing more information, but about releasing it in a way that is usable. I can announce to the House that since 2010 the Government have released 27,000 open datasets—a new high—which goes to show that we are the most transparent Government ever.
ParlaMint-GB_2016-04-27-commons.u64	T3. British troops served fewer years in Iraq than during the first and second world wars, and the first and second world wars did not take as long as it has taken to publish the Chilcot report. Will the Minister make an apology to my constituent Pat Long, whose son was killed in the Iraq war, for these unforgivable delays, and also give a commitment to her and other families that they will see the embargoed report, rather than getting the news—inevitably there will be bad news—second hand?
ParlaMint-GB_2016-04-27-commons.u65	I understand the hon. Gentleman’s concern and the concern of his constituents. He will know that the timing of the publication is a matter for the independent inquiry, which has set out a timetable. Checking for national security issues is very important, and will take place appropriately. Thankfully, we will get to the conclusion of this process soon.
ParlaMint-GB_2016-04-27-commons.u66	T2. The Government need to keep up with the digital revolution, and I applaud the Minister’s efforts to ensure that that is being done. Does he agree that as more interaction between citizens and Government takes place online, cyber-security must keep pace with that increase?
ParlaMint-GB_2016-04-27-commons.u67	I entirely agree with my hon. Friend. He is absolutely right that cyber-security is increasingly important not just for communications between citizen and Government, but in a wide range of businesses. That is why we have laid aside £1.9 billion to improve our cyber-security during this Parliament, and why we are creating a new national cyber-security centre.
ParlaMint-GB_2016-04-27-commons.u68	T5. We heard earlier about the anti-lobbying clause that the Minister for the Cabinet Office is determined to introduce in a drive to clean up politics. The Lobbying (Scotland) Act 2016 covers the lobbying of MSPs. Does he have any plans to expand the scope of the register of consultant lobbyists to cover the lobbying of MPs?
ParlaMint-GB_2016-04-27-commons.u69	We brought in the Transparency of Lobbying, Non-Party Campaigning and Trade Union Administration Act 2014 and made progress on this issue during the last Parliament. The crucial point about tackling lobbying through grants is that taxpayers’ money should be spent on the things it is intended for, not on Government lobbying Government.
ParlaMint-GB_2016-04-27-commons.u70	T4. The FIFA corruption scandal and other corruption scandals around the world have shown the need for a more integrated and international approach to tackling corruption. Will the Minister push for such an approach at the Government’s anti-corruption summit next month?
ParlaMint-GB_2016-04-27-commons.u71	In short, yes. That is of course part of the global development goals, which my right hon. Friend the Prime Minister led the world in establishing. One of the targets within those goals is precisely to reduce that kind of corruption, and we will emphasise that in our work to fulfil our part of those targets.
ParlaMint-GB_2016-04-27-commons.u72	T7. What steps has the Minister taken to make Government colleagues aware of the disastrous impact that the Trade Union Bill will have on industrial relations with civil servants?
ParlaMint-GB_2016-04-27-commons.u73	The Trade Union Bill, which is currently before Parliament, takes important steps to modernise the relationship between trade unions and their members. Although trade unions play a very important part in our national life and represent the interests of many, they do not represent the interests of all, and we must make sure that that relationship is modern and appropriate. [Interruption.]
ParlaMint-GB_2016-04-27-commons.u74	Order. There is a lot of noise in the Chamber. The Minister must be very disappointed to have such an inattentive audience. Let us hear the words.
ParlaMint-GB_2016-04-27-commons.u75	T6. To return to individual electoral registration and the question from the hon. Member for West Dunbartonshire (Martin Docherty-Hughes), will the Minister give further assurances that all steps are being taken to reach harder-to-reach groups, such as private renters, of which there are very many in my constituency of Eastbourne?
ParlaMint-GB_2016-04-27-commons.u76	Yes, indeed. We are determined to reach out to a new set of potential electors who have failed to register, as the Minister for constitutional reform, my hon. Friend the Member for Weston-super-Mare (John Penrose), made clear earlier in our proceedings. I should tell my hon. Friend that every single person whose name appeared in the old register but who has been discounted under individual electoral registration would have been approached at least nine times before their name was removed.
ParlaMint-GB_2016-04-27-commons.u77	I appeal to Ministers to face the House because much of the right hon. Gentleman’s answer was lost on the rest of us, which is to our grave disadvantage.
ParlaMint-GB_2016-04-27-commons.u78	T9. When I used to work for a charity, I was often called by the Ministry of Justice, the Home Office and the Department for Communities and Local Government to give expert advice, on one occasion to a very anxious Minister just before a sitting of the Home Affairs Committee. Under the new anti-advocacy clause, will charity specialists continue to be able to help the Government, or will the new rule apply only when it suits the Government, rather than when it suits the public?
ParlaMint-GB_2016-04-27-commons.u79	Of course charities will be able to contribute to debate. They will be able to advise and researchers will be able to bring forward their world-beating ideas, but as for the idea, supported by the Labour party, that taxpayers’ money should be used for paid lobbyists, we are going to put a stop to that.
ParlaMint-GB_2016-04-27-commons.u80	T8. I welcome the Government’s commitment to improving social mobility in the civil service. Will the Minister join me in encouraging more private sector employers to do the same—for example, through schemes such as Inspiring the Future?
ParlaMint-GB_2016-04-27-commons.u81	I strongly endorse that approach, Mr Speaker. If you or any other Member have not already got involved in an Inspiring the Future event, I would encourage you to do so. Not only is it good for the country but it is an incredibly enjoyable way to spend some time.
ParlaMint-GB_2016-04-27-commons.u82	From Cabinet Office figures, 67% of people in the senior civil service were based in London last year, the highest proportion in the past five years. Given that, and the decision to close the office of the Department for Business, Innovation and Skills in Sheffield, does the Minister not accept that his policy of moving civil servants out of London and into the regions is failing?
ParlaMint-GB_2016-04-27-commons.u83	We are introducing regional hubs for the civil service. Of course, many UK civil servants work in Scotland, supporting the people in Scotland. Inevitably there are a large number of civil servants in London because this is the capital of the United Kingdom, but we have to make sure that they represent the country that they serve.
ParlaMint-GB_2016-04-27-commons.u84	We know that special advisers are required to submit their emails and telephone texts to public view under freedom of information legislation. What is the Government’s policy on the use of WhatsApp, which special advisers are using to conceal Government business from public view?
ParlaMint-GB_2016-04-27-commons.u85	I hesitate to admit to my hon. Friend that I have never personally used WhatsApp in my life. I am happy to reassure him that all aspects of Government business are properly recorded and minuted, and are subject to FOI requests as normal, despite the rumours that he has heard.
ParlaMint-GB_2016-04-27-commons.u86	That probably makes two of us, then.
ParlaMint-GB_2016-04-27-commons.u87	Q1. If he will list his official engagements for Wednesday 27 April.
ParlaMint-GB_2016-04-27-commons.u88	Yesterday marked a momentous day for the family and friends of the 96 victims of the Hillsborough disaster. Over the last 27 years their search for justice has been met with obfuscation and hostility instead of sympathy and answers. As I said to the House in 2012 about the Hillsborough independent panel’s report, it is wrong that the families had to wait for so long, and to fight so hard, just to get to the truth. I know that the whole House will want to join me in praising their courage, patience and resolve. They have never faltered in the pursuit of the truth and we all owe them a great debt of gratitude This morning, I had meetings with ministerial colleagues and others, and, in addition to my duties in the House, I shall have further such meetings later today.
ParlaMint-GB_2016-04-27-commons.u89	I would very much like to associate myself with the Prime Minister’s important comments on the Hillsborough tragedy, along with Members on all sides of the House, and pay tribute to the victims and their families, and to the resilience of the campaigners who continue to strive for the truth in the pursuit of justice In my constituency of Eastleigh, the service that GPs provide is crucial to people’s daily lives, including at St Luke’s surgery in Botley—I have met the people at that surgery to highlight its important local value. Does the Prime Minister agree that the recent key announcement of £2.4 billion of funding for GPs is only possible because of a strong Conservative majority Government?
ParlaMint-GB_2016-04-27-commons.u90	My hon. Friend is absolutely right. We made a choice to put £12 billion into the NHS in the last Parliament and £19 billion into the NHS in this Parliament. We want to see strengthened primary care. Our vision is of GPs coming together and having physiotherapists, mental health practitioners and other clinics in their surgeries, so that people can get the healthcare they need and we take the pressure off hospitals. That will only happen with a Government who keep investing in our NHS.
ParlaMint-GB_2016-04-27-commons.u91	Yesterday, after 27 years, the 96 people who tragically lost their lives at Hillsborough, and their families, finally received the justice they were entitled to. I welcome the fact that the Prime Minister has apologised for the actions of previous Governments, and I join him in paying tribute to all those families who have campaigned with such dignity, steadfastness and determination, to get to the truth of what happened to their loved ones on that dreadful afternoon. I also pay a warm tribute to my hon. Friends the Members for Liverpool, Walton (Steve Rotheram), for Halton (Derek Twigg) and for Garston and Halewood (Maria Eagle), my right hon. Friend the Member for Leigh (Andy Burnham) and other MPs who have relentlessly campaigned with great difficulty over many years. I hope that the whole House will be united in demanding that all those involved in the lies, smears and cover-ups that have so bedevilled this whole inquiry will now be held to account Last week the Prime Minister told the House that he was going to put rocket boosters on his forced academisation proposals. This weekend, in the light of widespread unease—including among his own MPs—it seems that the wheels are falling off the rocket boosters, and that the Government are considering a U-turn. Will the Prime Minister confirm whether that U-turn is being prepared for or not?
ParlaMint-GB_2016-04-27-commons.u92	Let me join the right hon. Gentleman in praising those who campaigned so hard and for so long to get justice for the victims of Hillsborough. This whole process took far too long, and it is right that we had the Jones report—I pay tribute to the right hon. Member for Leigh (Andy Burnham)—and responded to it. I also want to mention the former Attorney General, who took the case to the High Court for the Government himself, to argue for that vital second inquest On academies, I have not yet met a rocket booster with a wheel on it, but rocket science is not really my subject, and apparently it is not the right hon. Gentleman’s. I repeat: academies are raising standards in our schools, and I want a system where heads and teachers run schools, not bureaucrats.
ParlaMint-GB_2016-04-27-commons.u93	Well, there wasn’t much of an answer there. Will the Prime Minister tell the House—[Interruption.] If Conservative Members would be patient, they might hear the simple question that I am putting to the Prime Minister. Will he tell the House whether he will bring forward legislation to force good and outstanding schools to become academies against their wishes in the upcoming Queen’s Speech? Yes or no?
ParlaMint-GB_2016-04-27-commons.u94	Obviously, I cannot really pre-empt what is in the Queen’s Speech, but on this one example I can help out the right hon. Gentleman. We are going to have academies for all, and it will be in the Queen’s Speech.
ParlaMint-GB_2016-04-27-commons.u95	We look forward to that, but there is still time for the U-turn that I am sure is at the back of the Prime Minister’s mind. It has been reported that the Government are considering allowing good local authorities to form multi-academy trusts. Ironically, that would give local authorities more responsibility for running schools than they have now, although the Prime Minister has previously suggested that local authorities are holding schools back. Why is this costly reorganisation necessary for schools that are already good or outstanding? Why is he forcing it on them?
ParlaMint-GB_2016-04-27-commons.u96	As I said last week—this is good; I like repeats on television, and I am very happy to have them in the House as well—outstanding schools have nothing to fear from becoming academies, and indeed they have a lot to gain. Just because a school is outstanding or good does not mean that it cannot have further improvement. We want outstanding schools to help other schools in their area, often by being part of an academy trust. The right hon. Gentleman mentioned local authorities—[Interruption.] He has asked two questions so far, with two very clear answers. Third question, and third clear answer coming—[Interruption.] Simmer down. Perhaps if he could deal with the anti-Semites in his party, we would all be prepared to listen to him a bit more—perhaps we will come on to that Of course, there are lots of ways in which schools can become academies: they can convert and become academies; they can be sponsored by an outside organisation; they can work with other schools in the area; they can look at working with the local authority. Those schools that want to go on using local authority services are free to do so. I am very clear: academies are great and academies for all is a good policy. What we are now seeing from Labour, I sense, is that it is moving in favour of academy schools. Perhaps when the right hon. Gentleman gets to his feet, he can say: does he favour academies or not?
ParlaMint-GB_2016-04-27-commons.u97	The Prime Minister will be aware that repeats on television sometimes get more viewers than they did the first time round The chief executive of the largest academy chain in London, the Harris Academy, has warned that a far more fundamental thing that the Prime Minister should be worrying about, rather than whether schools should become academies or not, is teacher shortages. The academies do not want this; parents do not want it; teachers do not want it; governors do not want it; Conservative councils and MPs do not want it. Who actually does want this top-down reorganisation that he is imposing on our education system?
ParlaMint-GB_2016-04-27-commons.u98	Okay. Question 4, answer 4: here it comes. The right hon. Gentleman asks who wants this. Let us start with Michael Wilshaw, the chief inspector of schools. I think he is someone worth listening to. He said that “academisation can lead to rapid improvements…I” firmly “believe it is right to give more autonomy to the front line” The OECD has been in the news today, so let us try that. This should not be too controversial. The OECD states: “I view the trend towards academies as a very promising development in the UK, which used to have a rather prescriptive education system” So it supports it. What about the endless academy trusts who support it The right hon. Gentleman asked another question, and, very keen for full answers—[Interruption.] If you shout, you will not hear the answer. He asked about teacher shortages, but the fact is that there are more school places and more teachers under this Government than there were under Labour. Why? Because we have got a successful economy, and we are putting it into our schools and our children’s future.
ParlaMint-GB_2016-04-27-commons.u99	There are, of course, still record numbers of children in over-sized and super-sized classes, and that is getting worse. If the Prime Minister is looking for support for his academisation proposal, he might care to phone his friends, the leaders of Hampshire, West Sussex and his own Oxfordshire county council, who are deeply concerned and opposed to it. He might care to listen to Councillor Carter, the Conservative chair of the County Councils Network, who said that “the change will lead to a poorer education system” Why, then, is the Prime Minister pushing this through with so much opposition and concern, and when it is such a waste of money, when we should be investing in teachers and schools, not top-down reorganisation?
ParlaMint-GB_2016-04-27-commons.u100	I am glad the right hon. Gentleman is quoting Conservative council leaders, and because they keep the council tax down and provide good services, I hope we will see more of them in 10 days’ time. To be clear on teacher supply, there are 13,000 more teachers than there were in 2010 To give a wholly accurate answer to his fourth question, the right hon. Gentleman asked who else supports academies. Let me quote Helena Mills of the Burnt Mill Academy Trust. She said: “I used to be very sceptical about, and resistant to, academy status. But during the process of developing the…Academy…I have been increasingly convinced that” this “is the way forward.” That is what more and more people are saying. That is why 1.3 million more children are in good and outstanding schools. That is why almost nine out of 10 converter academies are good or outstanding schools. On this side of the House we are very clear: we back aspiration; we back opportunity; we back investment in our schools; we want every child to get the best. It is Labour that wants to hold back opportunity and have one-size-fits-all.
ParlaMint-GB_2016-04-27-commons.u101	A pattern seems to be developing. [Interruption.] It is quite simply this: the Prime Minister has a Health Secretary who is imposing a contract on junior doctors, against the wishes of patients, the public and the rest of the medical profession; and he has an Education Secretary who is imposing yet another Tory top-down reorganisation that nobody wants. When will his Government show some respect and listen to the public, parents and patients, and indeed to professionals who have given their lives to public service in education and health? When will he change his ways, listen to them and trust other people to run services, rather than imposing things from above?
ParlaMint-GB_2016-04-27-commons.u102	I tell right hon. Gentleman the pattern that is developing: we can see 1.9 million more people being treated in our health service; and we can see 1.3 million more children in “good” or “outstanding” schools. That is the pattern that is developing: a strong economy, investing into our public services. The other pattern that I have noticed, standing at this Dispatch Box, is that I am on my fifth Labour leader—and if he carries on like this, I will soon be on my sixth.
ParlaMint-GB_2016-04-27-commons.u103	Q2. The Government package to help potential buyers of the Tata Steel site in Port Talbot is substantial and befits the tremendous bipartisan endeavours this Government have undertaken to save the industry, and it stands in stark contrast with the distasteful, disrespectful comments of Labour’s policy adviser, who said that the steel crisis had been “good for Labour”. Is there any indication that the package could help expedite the sale of the site, which could provide the long-term viable future for Welsh steel, which we all hope for, and for the workers who live in my constituency of Gower
