ParlaMint-GB_2016-01-22-commons.u1	rose—
ParlaMint-GB_2016-01-22-commons.u12	Will my hon. Friend explain what he means by “appropriate”? Does it mean the Secretary of State should ask a few mates in the pub what they think of the proposals, or a more formalised system through petition of this House?
ParlaMint-GB_2016-01-22-commons.u13	I shall turn to what I mean by “appropriate” in due course, but I think hon. Members on both sides of the House will know on plain reading of the word “appropriate” what is or is not appropriate.
ParlaMint-GB_2016-01-22-commons.u14	In my mediocre experience in local government I have participated in a huge number of Government consultations. I cannot recall a single one that changed the initial decision of the Government. Will my hon. Friend acknowledge that more often than not Government consultations just go through the motions? The only one I can remember ever having an effect was by the incoming Mayor of London on removing the extension of the congestion charge in the west of London, which was overwhelmingly supported by consultees, and he did in fact enact that in the teeth of opposition from Transport for London. Beyond that, I have never quite seen the point of consultation when Ministers’ minds are made up. Does my hon. Friend agree?
ParlaMint-GB_2016-01-22-commons.u15	I certainly would not agree that my hon. Friend’s experience is mediocre—quite the opposite. I understand the thrust of his point, but I disagree, because at a time when politics can be seen to be remote it is important that the public are engaged in these debates. I also think it would be wrong to say Ministers’ minds are closed. I am sure those on the Front Bench this morning would agree that Ministers’ minds are not, and should not be, closed—certainly not before a public consultation.
ParlaMint-GB_2016-01-22-commons.u16	May I repeat a question already asked: who would finance the public consultations? Would it be the charitable trust, the Government, or local government? Will my hon. Friend expand on that?
ParlaMint-GB_2016-01-22-commons.u17	The point about cost is important. At the end of the day it would have to come from taxpayers, which I accept is a challenge and a potential disadvantage. My argument is that in the principle of a public consultation the advantages outweigh the disadvantages.
ParlaMint-GB_2016-01-22-commons.u18	What is my hon. Friend’s estimate of the consultations’ cost to the taxpayer? Has he done any analysis of how many consultations there might be, and of their cost?
ParlaMint-GB_2016-01-22-commons.u19	Again, I do not have those figures to hand. My hon. Friend is right to raise this because it is an issue of concern; cost must always be borne in mind, but, as I have said, I am speaking to the principle, and unfortunately I do not have the specific figures she asks for.
ParlaMint-GB_2016-01-22-commons.u20	Cost is important, but the transparency angle outweighs it.
ParlaMint-GB_2016-01-22-commons.u21	My hon. Friend, who has put her name to these amendments, makes a valid point, and helps me to make the argument that the public consultation is the right way forward.
ParlaMint-GB_2016-01-22-commons.u22	My hon. Friend the Member for North West Hampshire (Kit Malthouse), a far from mediocre figure in any sense, is far too self-deprecating, but I want to come back to the point he made. He referred to the consultation in west London, which was on a huge issue that affected vast numbers of people and had been the subject of a hard-fought political campaign. It was also a very costly consultation, but that was appropriate and proportionate. A lot of the changes that your amendment refers to—sorry, that the amendment of my hon. Friend the Member for Mid Dorset and North Poole (Michael Tomlinson) refers to—are purely technical in nature and this would not be necessary.
ParlaMint-GB_2016-01-22-commons.u23	I think Mr Speaker would agree that these are not his amendments, but are my amendments. I understand, again, the point my hon. Friend makes, but I disagree with it May I return to the review on which the Government consulted in 2014? Following that consultation, the Department of Health published its response—it is an important point of principle in public consultations that there is a formal response. As a result of that response, we have these proposals and eventually this Bill, which is being ably presented by my hon. Friend the Member for Aldridge-Brownhills.
ParlaMint-GB_2016-01-22-commons.u24	Who will the consultation be with? Will it be with other charities, hospital users, people who have been to see “Peter Pan”, every hospital in the country, or every child who has ever been treated at Great Ormond Street? Who exactly will my hon. Friend be recommending the consultation is with? So far, that is not clear to me.
ParlaMint-GB_2016-01-22-commons.u25	I envisage the consultation being as wide as possible. My hon. Friend mentions everyone who has been to see “Peter Pan”, and that would be a pretty wide consultation—perhaps not everyone has seen “Peter Pan” and I highly recommend that those who have not, do so. I envisage that the principle is that it is as wide a consultation as possible The Bill, which has wide support on both sides of the House, is the product of a public consultation, so I fail to see how Members can disagree with this proposal.
ParlaMint-GB_2016-01-22-commons.u26	I thank my hon. Friend for giving way; he is being incredibly generous in taking interventions. Every charity has a group of people it benefits. Does my hon. Friend agree that for this consultation to have any meaning, it would have to be with the entire area of benefit, which could in some cases involve literally millions of people? Does he also agree that most of them would probably feel their charitable funds would be better spent getting on with the job, rather than having a very large consultation about who appoints a director of the trustees?
ParlaMint-GB_2016-01-22-commons.u27	I understand that point, which is similar to other points questioning the benefit and the cost, but I respectfully suggest that the benefit outweighs the cost in this case and that the public, seeing that they are consulted, would once again be re-engaged with the political process, which I think my hon. Friend should support.
ParlaMint-GB_2016-01-22-commons.u28	My hon. Friend rightly points out that my private Member’s Bill emerged as a result of consultation with NHS charitable trusts. Does he agree, however, that it is unusual to be seeking public consultation on a technical change that is consequential to my Bill?
ParlaMint-GB_2016-01-22-commons.u29	Again, I am grateful for the intervention and understand the point being made, but I disagree with my hon. Friend. Although this is technical in nature, I believe the principle of public consultation would be beneficial to the wider public. It would be curious to be opposed to public consultation, certainly in principle, given that this Bill is a product of just such a consultation Let me give one further example of public consultations attracting wide support. Many in this House, on both sides of the Chamber, have been fighting for fairer funding.
ParlaMint-GB_2016-01-22-commons.u30	I completely agree with my hon. Friend that most of us would support adequate public consultation, but I am concerned that we do not know how much cost we will burden the taxpayer with. I press him again: how many consultations does he envisage? What would the cost be?
ParlaMint-GB_2016-01-22-commons.u31	Once again, I am grateful for the intervention, but, with respect, may I say that my hon. Friend is merely repeating a point that she made before? As I explained, I do not have those figures to hand and so, with regret, I cannot give her a specific figure. I understand the general thrust of the point she makes, but I respectfully disagree with it and am giving a further example in relation to fairer funding, with which I think she will agree. I refer to the successful campaign for fairer funding for our schools, where there will be a period of public consultation following it.
ParlaMint-GB_2016-01-22-commons.u32	Is my hon. Friend indicating that local authorities would have to bear the cost?
ParlaMint-GB_2016-01-22-commons.u33	Again, with respect to my hon. Friend, may I say that she is repeating a point she made before? I did accept that this money would have to come out of the public purse, but I am seeking to persuade her and other hon. Members that the benefits of public consultation will outweigh the costs. I am giving a good example, or at least I hope I am, about fairer funding. I hope she will agree that having fought and campaigned for fairer funding for our schools, for example, those in Dorset and Poole, which are grossly underfunded, it is right that the public and the stakeholders are consulted. It is right that parents, local authorities, school governors and the general public are consulted, and I encourage everyone to respond to that consultation to ensure that we—
ParlaMint-GB_2016-01-22-commons.u34	Order. I gently exhort the hon. Gentleman to consider the merits of moving on to one or other of the two other amendments that he has for consideration. I would not want him to be led astray by someone, discontented with his previous answer, somehow feeling that he requires to attend to the point beyond what he has already done. The hon. Member for South East Cornwall (Mrs Murray) has made her point and he has made his, and I know that he would not want to engage in tedious repetition.
ParlaMint-GB_2016-01-22-commons.u35	I am very grateful for that guidance, Mr Speaker.
ParlaMint-GB_2016-01-22-commons.u36	I remind my hon. Friend that he said he would explain what the word “appropriate” meant in this context, which is an important point for the House to be clear upon.
ParlaMint-GB_2016-01-22-commons.u37	That would be entirely orderly and would involve no repetition. The hon. Member for North East Somerset (Mr Rees-Mogg) has done us a service in reminding us that his question has, thus far, been unanswered.
ParlaMint-GB_2016-01-22-commons.u38	In which case, let me turn to that very point. As my hon. Friend rightly says, my amendment 4 contains the word “appropriate”. We can all envisage inappropriate public consultations. I again contend that this term should be relatively uncontroversial, because we all know what it means. An inappropriate consultation would be too short or would take place over a festive period such as Christmas, when either people would not have the opportunity to respond or an insufficient number would have the opportunity to do so. Although I welcome the opportunity to expand on the word “appropriate”, I believe it is pretty obvious what it means.
ParlaMint-GB_2016-01-22-commons.u39	The word “appropriate” also relates to the level of the thing to be consulted upon. We have a tradition in this country: certain things—for example, Britain’s membership of the European Union—are decided by consulting every member of the public in a referendum. Other issues such as school funding also affect the wider public, but on issues such as who is a director of something we do not usually go to the length of a full public consultation to decide the process. This is about what is appropriate given the nature of the issue, as well as what is appropriate in terms of the time of year the consultation is held and how long we give people to respond.
ParlaMint-GB_2016-01-22-commons.u40	I am very grateful for that helpful intervention. I would wish to expand on the issue of an EU referendum, but I suspect that Mr Speaker would encourage me to move on, so I will not be tempted down that line. I understand the point my hon. Friend makes and will merely respectfully suggest that the word “appropriate” speaks for itself and requires no further elaboration Given your encouragement, Mr Speaker, I will now move on to amendments 5 and 6, which also stand in my name and that of my hon. Friend the Member for Erewash. They seek to remove the requirement that the regulations may make provision consequential to the removal of the Secretary of State’s powers; in effect, they would remove the affirmative resolution procedure and insert the negative one. They are simple amendments, so I will not take up your time in debating them at length, Mr Speaker. In effect, the debate is being held now, as is perfectly appropriate, and it would therefore be unnecessary in this case to bring it back.
ParlaMint-GB_2016-01-22-commons.u41	We have discussed the use of the word “appropriate”. Does my hon. Friend feel that these two amendments are appropriate and necessary? I do not feel that they add anything to the Bill, and there is no need for them.
ParlaMint-GB_2016-01-22-commons.u42	I am grateful for that intervention, but my view is that in this case it is unnecessary to use the affirmative procedure to approve the matter and the negative procedure would suffice. I understand the point that my hon. Friend makes, but I respectfully suggest that these amendments are appropriate. I was looking up one of the notes in the Library, perhaps one prepared by one of your predecessors, Mr Speaker, and I found that it stated that the affirmative procedure is less common, being used in perhaps only 10% of cases I will not take up time by referring to the other amendments, merely noting that several and other hon. Members will speak to them in due course. I look forward to a constructive debate on this group.
ParlaMint-GB_2016-01-22-commons.u43	I had not intended to follow on so quickly, Mr Speaker, as I thought there would be a great rush to the barricades of people wanting to speak. I am moved to speak in opposition to what my hon. Friend the Member for Mid Dorset and North Poole (Michael Tomlinson) is proposing before dealing with my own amendments. I am very concerned about what he is suggesting, given its radicalism and its move away from proper parliamentary scrutiny and from the sovereignty this House enjoys. He asks us to throw all that away for this vague “appropriate” consultation. One of his amendments would remove the following provision in the Bill: “A statutory instrument containing regulations under subsection (2) which amend or repeal primary legislation…may not be made unless a draft of the instrument has been laid before, and approved by a resolution of, each House” You will know, Mr Speaker, that one of the most dangerous powers this House can give to Ministers—one we have always been cautious about giving them—is the power to amend primary legislation without going through the normal procedures for repealing primary legislation. Therefore, slipping in an amendment to a Bill that would take away that safeguard from this House and the other place, and allow things to be nodded through, is an extraordinarily radical proposal. It takes away the authority of this House and is therefore fundamentally dangerous, and so I oppose it.
ParlaMint-GB_2016-01-22-commons.u44	Does my hon. Friend envisage any de minimis provision whatsoever? Should everything come before this House as primary legislation?
ParlaMint-GB_2016-01-22-commons.u45	If primary legislation is being changed the default position should be that it can be changed only by primary legislation. That should not be subject to a de minimis level because primary legislation is by its nature important. If something is not important, why is it in primary legislation? If it is in primary legislation it can be assumed that it is a matter of such nature, state and standing that it has required this House, the other place and Her Majesty to approve it. If we are dealing in trivialities, that is a broader constitutional question that should be considered and we should stop doing that. If something is in primary legislation, it ought, as a starting point, only be changed by primary legislation To allow Ministers what have been known as Henry VIII clauses to wipe out primary legislation is something that constitutionalists have been concerned about for many years. That is why I am very uncomfortable with this provision being slipped in as an amendment and brushed over when what it does is of fundamental importance and is quite rarely used. My hon. Friend the Member for Mid Dorset and North Poole made the point that the affirmative route for statutory instruments is rarer than the negative one, and that is quite correct, but the negative one is mainly used for routine regulations that do not engage in any change to primary legislation. When primary legislation is changed, that ought to be brought to the House.
ParlaMint-GB_2016-01-22-commons.u46	My hon. Friend says that this is being slipped in, but surely now, today, we have the opportunity to debate it and he has the opportunity to speak against it. We are having that discussion right now.
ParlaMint-GB_2016-01-22-commons.u47	That is absolutely right, but I think that slipped in is a perfectly fair phrase on Fridays, because the debates then tend to be quiet and relatively poorly attended. However, it is nice to see our Benches so full and well trooped, if I might say so, by people who are in the Chamber to support the Bill. I am rather surprised that our friends from Scotland are all absent, but I suppose that the Bill does not immediately affect them, at least not in the first half I want to move on to the comparison between the amendment getting rid of the affirmative route for statutory instruments and the one on public consultation. It seems to me to be an extraordinary approach to take to say that when a regulation is changed by the Secretary of State, it is better that it should be consulted on with a group of self-selecting individuals who take the time to get in touch, taking away the ability of this House to act as that safeguard and check. Surely we are here, with a democratic mandate, as the main people to be consulted on behalf of our electorate, to whom we have to report every so often. Issues should not be put out to local consultation, which, as my hon. Friend the Member for North West Hampshire (Kit Malthouse) said, is often more of a fig leaf and an attempt to consult and either achieve a result that is already intended. If not, the consultation is ignored. Consultation has become immensely fashionable and we should always be cautious of fashion. Fashion ebbs and it flows, it comes and it goes, but there is a permanence to this House and in our way of doing things. We are the democratic sounding board for our constituents, so that there are not endless self-selecting consultations with people who are not necessarily particularly interested in the issue.
ParlaMint-GB_2016-01-22-commons.u48	Order. If the hon. Gentleman himself has ever been fashionable, which is in itself extremely doubtful, it can only have been by accident.
ParlaMint-GB_2016-01-22-commons.u49	Mr Speaker, as always, you are correct. I think that I would take being called fashionable as a grave insult, although I know that your ties are regularly a model of fashion.
ParlaMint-GB_2016-01-22-commons.u50	Moving away from the dangers of fashion back to the substance of what we should be debating, will my hon. Friend address the point about the principle of the public consultation and the fact that this very Bill was the product of public consultation?
ParlaMint-GB_2016-01-22-commons.u51	I am grateful to my hon. Friend for that intervention, but I am afraid that I think that most public consultation is bogus. It is about going through the motions and pretending we are interested in views when the Government, or councils or whatever else, want to get on and do whatever they wish to do anyway. It simply allows opportunities for judicial review to gum up the process. We should be incredibly cautious about chucking public consultation into Bills, because that does not actually achieve anything.
ParlaMint-GB_2016-01-22-commons.u52	Does my hon. Friend agree that our constituents would look on agog at a Bill designed to simplify the process requiring a three-year consultation followed by yet another one?
ParlaMint-GB_2016-01-22-commons.u53	My hon. Friend hits the nail on the head. That is the problem with this endless consultation; nothing gets done. Last May, people voted and gave us a mandate to do things, not to ask them what we should do.
ParlaMint-GB_2016-01-22-commons.u54	May I ask my hon. Friend to consider this point? He mentioned the word “appropriate”. Nowhere does my amendment suggest a three-year consultation period—rather, it suggests an appropriate consultation.
ParlaMint-GB_2016-01-22-commons.u55	I raised the question of what the word “appropriate” meant earlier and I was indeed intending to come back to it. Appropriate, inappropriate, unacceptable and disappointing are those new Labour words that get dropped into conversations and they mean remarkably little or what, in a Humpty Dumptyish way, what the person hearing them wishes to think that they mean. What is an appropriate consultation? There is no qualification or clarification in the amendment, so what is it intended to achieve? Does “appropriate” mean that signs should be put on noticeboards, as with planning issues? Does it mean that letters should be written to local residents? Does it mean that something should be squirrelled away on the internet? Does it mean that a paper should be laid before this House, or put in the Library, where, no doubt, many people would follow its contents closely? Or does “appropriate” mean that the Secretary of State has a word in his office with the permanent secretary, saying, “Do you think this would be a good idea, Sir Humphrey?”, then Sir Humphrey replies, “Well, you would be very brave, Minister,” and then the idea is dropped on the basis of that consultation? Does it mean the Secretary of State can have a word at home with his family—with his kitchen cabinet—telling them that he is minded to appoint or not appoint a few trustees? I could tell all sorts of anecdotes about how that used to happen in the good old days, but I think it might be wandering slightly from the point. “Appropriate” is a very imprecise word and legislation ought to be precise.
ParlaMint-GB_2016-01-22-commons.u56	My hon. Friend is giving us the benefit of his usual style of speech—[Interruption.] Of fashionable speech, yes. It is certainly in fashion on a Friday to hear my hon. Friend the Member for North East Somerset (Mr Rees-Mogg) speak so well. Does he agree that the problem is that “appropriate” can mean anything under the sun and that various people have different views? For example, with the recent pension changes, some have said that the information should appear in adverts in the press and others that it should be provided in individual hand-delivered letters. This term is so vague and really would have to be defined. I think it is strange to say that we want to consult if we are handing out something that is unlikely to get more than a handful of responses given its detailed and technical nature. That will merely build up in the public’s mind the idea that yet again people have decided what they will do and are now consulting on it.
ParlaMint-GB_2016-01-22-commons.u57	I agree with my hon. Friend. I want to finish on this set of amendments by saying that this House should be jealous of its role as the major focus of consultation in the nation. We were elected to represent our constituents and therefore to express views on these issues. That is why we are here, and what is done with consultation so often is a pretence. It is not about the Government wanting the wisdom of the millions before making up their mind but about the Government wanting the comfort of having been through a rigmarole to get what they wanted in the first place. We should not give up our authority lightly or increase the power of the Executive I know want to turn briefly to the amendments tabled by my hon. Friend the Member for North West Hampshire, which are absolutely glorious in their conception. They basically reverse what the Bill is trying to do in the first place, which is a great thing for him to have slipped past our ever-attentive Clerks. That does not often happen on Report. Perhaps the amendments—and this is why our Clerks in their wisdom let them go through—would ensure that there is a safeguard. Safeguards may be sensible. There have been occasions where charities have got into trouble when public money is being spent. Although it is broadly considered a good idea to remove the power from the Secretary of State to appoint trustees so that a decision is made more locally and so that the construction of the charities may be more suitable for the local organisations—that has a great deal of support —we know that something will go wrong at some point That is not a particularly Cassandra-like view to take; it is just the experience that we have. We know that there will be a small charitable hospital that puts all its money into an Icelandic bank, for example, and suddenly loses it. The trustees get criticised and attacked, or they write 3,000 letters a year to elderly ladies asking them for money and are seen to have behaved badly. Then somebody will come forward, probably a Member of this House, who will ask the Secretary of State at Question Time, “Why is it that you, Secretary of State, are not doing anything to stop this problem arising? Why have you not kept those residual powers? Why did you not ensure that when the Bill went through Parliament, there was a safeguard, something to protect—”
ParlaMint-GB_2016-01-22-commons.u58	I agree with my hon. Friend’s argument. That could happen to any charity, not just an NHS charity, so why introduce safeguards specifically for NHS charities?
ParlaMint-GB_2016-01-22-commons.u59	My hon. Friend makes an interesting and important point. NHS charities are different because of the structure of the national health service and the conception of the national health service in people’s minds. There is much less of an immediate governmental interest, or concern with, ordinary private charities that were founded sometimes centuries ago with grants from generous benefactors that through the mists of time have evolved and developed. NHS charities work side by side with the state in all that they do, so they are a marginal extension of the state rather than something completely different from it. If we draw a Venn diagram of the third sector, we have a part that is very private and another part that is very much state. NHS charities are very much in the state part of the Venn diagram.
ParlaMint-GB_2016-01-22-commons.u60	I thank my hon. Friend for giving way. He is generous with his time, as always. He talks about NHS charities being close to the state and therefore needing particular provision, but many other charities work closely with our national health service. I think of Rowcroft hospice in my constituency which provides palliative care across south Devon. Why, then, safeguard only certain charities? Why not expand it to all? The amendments do not strike me as worth while.
ParlaMint-GB_2016-01-22-commons.u61	My hon. Friend ignores the starting point, which is that the Secretary of State makes the appointments, whereas that has never been the case for other charities. They have evolved differently, whereas NHS charities are evolving out of the NHS, more towards the private sector. To put in place a safeguard which one hopes would not be used seems to me quite a prudent thing to do. It says, “This is our hope, this is our intention. We expect it to work and we think it will work in the vast majority of cases and make NHS charities more like other private sector charities.”
ParlaMint-GB_2016-01-22-commons.u62	Will my hon. Friend give way?
ParlaMint-GB_2016-01-22-commons.u63	Of course I give way to the promoter of the Bill.
ParlaMint-GB_2016-01-22-commons.u64	I am grateful. The Charities (Protection and Social Investment) Bill is proceeding through this House. It comes back to the Chamber next week, giving us the opportunity to hear more about the work of the Charity Commission. Does my hon. Friend agree that when the NHS charities that we are discussing today become independent, there is the assurance that they will be covered by the Charity Commission? That goes a long way to ensuring public trust in those charities, which is the crux of the matter.
ParlaMint-GB_2016-01-22-commons.u65	I suppose the answer is “Up to a point, Lord Copper.” The Charity Commission has marvellous and admirable elements. It has a brilliant chairman who has been a great force for good in that organisation, sorting out some of the problems that it had before his appointment. I think particularly of the dreadful treatment meted out to the Plymouth Brethren before he was there. It is none the less an unelected, unaccountable quango. I take the rather extraordinary view that we should trust our democratically elected politicians more than we should trust the unelected. That is why I am always banging on about this House maintaining its own powers, and why we should hold Ministers to account. We should be very cautious about thinking that an independent, unaccountable body is a better supervisor than the democratic will of the nation expressed through this House When responsibility is shifted, it is prudent to do that cautiously, in stages, and to keep a safeguard in place. When the first case goes wrong, which it will—within 10 years something will have happened; there will be an NHS charity where the accountant has snaffled off all the money and gone to Barbados or wherever it is fashionable to go at this time of year, or perhaps gone off to South Africa to watch the test match—at that point people will say, “Why didn’t the Government do something about that? Why have they not got a plan? Why didn’t they make sure that they could keep it under control?”. Having a protection, possibly even a time-limited one—
ParlaMint-GB_2016-01-22-commons.u66	I agree with the gist of what my hon. Friend is saying, but does he agree that if that power exists, it is even more likely that charities will fall into that predicament? If they are fully cognisant of their own responsibilities and know that they have to look to themselves to ensure that such problems do not occur, it is far more likely that fewer such problems will occur.
ParlaMint-GB_2016-01-22-commons.u67	No, I cannot follow the logic of that argument. I do not think charities will be more likely or less likely to have ill governance because the Secretary of State is in or out. The protection would be there in case there is ill governance, which there invariably is to a small degree. In charities, businesses and Governments there is invariably ill practice somewhere along the line, and I do not think the motive for ill practice is affected by the knowledge that the Secretary of State may be keeping an eye on them or a feeling that he is not doing so. We need to ensure that if the problem arises, there is a safeguard—a mechanism to put things right.
ParlaMint-GB_2016-01-22-commons.u68	My hon. Friend misunderstood me. I was not for one moment suggesting that a board may be encouraged to act in an adverse way because of powers resting with the Secretary of State. A presence that could rescue a charity in dire straits may influence the judgments of a board of trustees.
ParlaMint-GB_2016-01-22-commons.u69	I quibble about the word “rescue”. It is not so much rescue as fire. If the trustees do things badly, the Secretary of State may fire them and put other people in their place. That would not encourage slackness, idleness or malpractice. It would encourage probity, forthrightness and good management. The logic of my hon. Friend’s argument supports what I am saying, rather than what he thought he was promoting My hon. Friend the Member for North West Hampshire has proposed extremely sensible, prudent measures that will keep a broad eye on what is going on.
ParlaMint-GB_2016-01-22-commons.u70	I am listening to the points being made, but I am still struggling to understand why a handful of NHS charities performing wrongly would be any different from any other charity performing wrongly. I see the hon. Member for Bristol South (Karin Smyth) in her place. We remember the recent discussions in the Public Accounts Committee about the Kids Company collapse. Why should we not have a good system of charity regulation, rather than a specific power, as suggested in the amendments?
ParlaMint-GB_2016-01-22-commons.u71	I reiterate—I am sorry, Mr Speaker, to reiterate. I may be becoming repetitive, but I hope not yet tediously repetitive; that may come at a later stage. We need to look at the starting point. These charities are coming out of the control of the Secretary of State. To move them completely away from his control in one fell swoop may be relatively imprudent, whereas to do it more cautiously and keep a safeguard is perfectly sensible. By contrast, in the case of charities that have never been under the Secretary of State and have never had their trustees appointed by the Government, it is perfectly sensible to leave them with their existing regulatory system.
ParlaMint-GB_2016-01-22-commons.u72	We have had a lot of debate about the term “appropriate”. What exactly does my hon. Friend mean by “cautiously”? I have to say that I am very sceptical about this amendment.
ParlaMint-GB_2016-01-22-commons.u73	I am grateful to my hon. Friend for trying to out-pedant me, which is a great thing to do, and she may well have won this particular bout of pedantry. By “cautiously” I mean proceeding in a step-by-step way. I am fully supportive of the thrust of what her Bill is trying to do, which is admirable, sensible and wise. I am merely suggesting that in seeking to reach the same destination, we should ensure that there is a fall-back position in case things happen that are less than ideal. That is simply a matter of good sense and good housekeeping. There is no need to do everything in a great rush. As somebody once said, “Rome wasn’t built in a day”, and there are no doubt other clichés of a similar kind that I could use I want to turn to my own amendments, two of which are concerned with preserving the rights of this House. Amendment 8 would remove clause 2(8), which is about how the statutory instrument setting out regulations of this kind should be brought forward. It would ensure that a draft of the instrument is laid before the House and approved by a resolution of each House of Parliament. Laws are always best made when they go through the full democratic process, controls are kept on Ministers, and we do not have arbitrary government We need to ensure that the assets underlying this are being protected, so in amendment 7 I suggest that there should be a statement by the Comptroller and Auditor General—a comptroller who is properly spelt rather than a controller with the modern spelling—that he is satisfied with the treatment of public assets and funds envisaged in the regulations. This is public money, to some degree—money that is under public auspices.
ParlaMint-GB_2016-01-22-commons.u74	I challenge my hon. Friend on that remark. Surely it is not public money but charitable money. It has been invested in the charity by donors, and the last thing they would expect is for the Comptroller and Auditor General to opine on it.
ParlaMint-GB_2016-01-22-commons.u75	I go back to what I said earlier about where NHS charities sit. By virtue of the money being given to a charity that supports the NHS, that money comes into the public purview and is subject to the way in which the public sector ought to ensure the good management of money. That is why I think it is appropriate—“appropriate”; I am using that awful word—rather, suitable and proper that it should be audited thoroughly to make sure that assets are not handed over that should not be handed over or misappropriated, and to give confidence to this House, and indeed to the other place, that moneys are being sensibly protected. These are very modest amendments.
