ParlaMint-GB_2016-03-03-commons.u1	1. What recent progress has been made on improving access to broadband in urban areas.
ParlaMint-GB_2016-03-03-commons.u45	6. What progress has been made on the roll-out of superfast broadband.
ParlaMint-GB_2016-03-03-commons.u46	The roll-out of superfast broadband is going very well and we have reached almost 4 million premises.
ParlaMint-GB_2016-03-03-commons.u47	Areas in my constituency fall into the so-called “broadband white areas”, where internet access is virtually non-existent. In 2010, the Government committed to providing every home with a basic broadband connection by the end of 2015. Three months on from that date, I have been contacted by many constituents who are still without a decent broadband service to their homes or businesses. Will the Secretary of State look into that and deliver on the commitment that was made five years ago to give every household and business access to broadband, which, in 2016, is surely a necessity, not a luxury?
ParlaMint-GB_2016-03-03-commons.u48	I am very pleased to tell the hon. Lady that about 96% of premises in her constituency will get superfast broadband, but also, as I said to my hon. Friend the Member for Pendle (Andrew Stephenson), the satellite voucher scheme is now available and all the hon. Lady’s constituents who do not have broadband or have broadband under 2 megabits can apply and have satellite installed for free.
ParlaMint-GB_2016-03-03-commons.u49	Those of my constituents who have missed out on the roll-out of superfast broadband are now pinning their hopes on the universal service obligation, which the Prime Minister announced before Christmas. How far has the Minister got with the consultations that I understand have to be conducted before the USO can be introduced?
ParlaMint-GB_2016-03-03-commons.u50	I am very pleased to tell my hon. Friend that we are proceeding at pace with our consultation, the results of which we will issue shortly, and we will probably legislate to introduce the universal service obligation in the digital economy Bill. I am delighted that he will get 99% superfast broadband in his constituency anyway.
ParlaMint-GB_2016-03-03-commons.u51	I have several cases of superfast broadband not reaching certain constituents, particularly businessmen. In the light of that, what discussions has the Minister had with broadband companies about improving copper cables, thus enabling them to reach further, and connection boxes so that superfast broadband is available to more people?
ParlaMint-GB_2016-03-03-commons.u52	We constantly challenge the communication providers to provide new technology and I am pleased that Virgin is extending its roll-out and that BT is introducing G.fast. I am also pleased that superfast broadband will approach around 85% in the hon. Gentleman’s constituency.
ParlaMint-GB_2016-03-03-commons.u53	7. What recent representations he has received on fixed odds betting terminals.
ParlaMint-GB_2016-03-03-commons.u54	Details of all the meetings that I and other Ministers have had with interested parties on this matter are available via the Department’s transparency returns. In addition, my officials engage regularly with all interested stakeholders to discuss gambling policy more generally, including the issue of fixed odds betting terminals.
ParlaMint-GB_2016-03-03-commons.u55	In 2014-15, people in Wirral lost more than £2 million at fixed odds betting terminals, and more than £290,000 of that was lost in my constituency of Wirral West. Low pay and insecure work is such a feature of our economy that people cannot afford to lose large sums of money. Will the Government realise the seriousness of the risk that FOBTs pose to people on lower incomes and substantially cut the maximum stake?
ParlaMint-GB_2016-03-03-commons.u56	I understand the concern about fixed odds betting terminals, and we keep the issue under review. The hon. Lady may be aware that last year we brought in new requirements that improved player protection, in particular by putting a stop to unsupervised play for stakes of over £50. It is already clear that that has had an impact on player behaviour. As far as we can see, the rate of problem gambling remains at under 1% and has not shown any sign of rising as a result of FOBTs.
ParlaMint-GB_2016-03-03-commons.u57	As the Secretary of State knows, the inconvenient truth is that problem gambling rates have reduced since the introduction of fixed odds betting terminals. The Campaign for Fairer Gambling claimed that each fixed odds betting terminal makes a profit of £1,000 a week. As a betting shop is open for more than 90 hours a week, that works out at an average profit of around £11 an hour. Does the Secretary of State think that that is an excessive profit rate? If he does, what does he think an acceptable profit rate would be?
ParlaMint-GB_2016-03-03-commons.u58	An awful lot of claims and counter-claims are made in this area, and not all of them stand up to close scrutiny. The Government intend to maintain a close watch over the issue, and any further changes that we introduce will be firmly evidence-based.
ParlaMint-GB_2016-03-03-commons.u59	8. What discussions he has had with the Home Secretary on ensuring that social media companies comply with police investigations into online crime.
ParlaMint-GB_2016-03-03-commons.u60	I have regular meetings with ministerial colleagues at the Home Office to discuss a range of issues.
ParlaMint-GB_2016-03-03-commons.u61	Companies such as Facebook often talk about corporate social responsibility, and I can think of nothing more responsible than co-operating with the police about death threats. Greater Manchester police have been waiting weeks for Facebook to help to identify those who made such threats to some Members of this House, not least me. Does the Secretary of State agree that Facebook and other social media need to do more to help the criminal justice system?
ParlaMint-GB_2016-03-03-commons.u62	I expect all social media companies to assist the police and uphold the law. Those providing communication services to users in the UK have an obligation to comply with UK warrants that request the content of communications, and with notices requiring the disclosure of data. Perhaps the hon. Gentleman should bring that to the attention of Facebook, and indeed to Greater Manchester police, if such co-operation is not forthcoming.
ParlaMint-GB_2016-03-03-commons.u63	Will the Minister join me in roundly welcoming the consultation that is starting today on taking action against cowardly internet trolls who create fake social media profiles and bully, harass and menace others online, and on taking action to help children affected by online bullying?
ParlaMint-GB_2016-03-03-commons.u64	I entirely share my hon. Friend’s concern, and it is very distressing when such things happen. I discovered that someone had set up a profile of me without my knowledge a few weeks ago, and I swiftly had it removed. It is clear that we must tighten the law where people are using such profiles to cause distress. In some cases they are breaching the law, so I welcome the new guidelines from the CPS.
ParlaMint-GB_2016-03-03-commons.u65	Internet companies are required to respond to requests from the police, but there is no timescale for that. It takes more than three weeks on average before Twitter provides data to the UK police for criminal investigations. What will the Minister and the Government do to force internet companies to respond promptly and immediately to our law enforcement agencies that are pursuing criminals?
ParlaMint-GB_2016-03-03-commons.u66	As I said to the hon. Member for Rochdale (Simon Danczuk), I expect all social media companies to comply with the law without any unnecessary delay. If there is evidence that they are delaying, I am happy to discuss the matter with my colleagues in the Home Office and to consider what more can be done.
ParlaMint-GB_2016-03-03-commons.u67	9. What steps he is taking to bring about the completion of the EU digital single market with regard to telecoms, audio visual policy, IT security and data protection.
ParlaMint-GB_2016-03-03-commons.u68	This Government are a great champion of the digital single market, and I know that all colleagues will have read the Prime Minister’s excellent White Paper. It means, for example, that people will no longer pay roaming charges when travelling across the EU, and once the digital single market is in place, we will see a huge increase in our GDP.
ParlaMint-GB_2016-03-03-commons.u69	According to the No. 10 website, we could create £325 billion of additional growth by fostering a digital single market, and it points to the advantages of that for consumers. Given that, why would anybody campaign to leave the EU rather than energetically work to get the best deal for the UK?
ParlaMint-GB_2016-03-03-commons.u70	Why indeed would anyone want to leave the EU? We present a united front in this House on the benefits of EU membership.
ParlaMint-GB_2016-03-03-commons.u71	Yes. [Laughter.]
ParlaMint-GB_2016-03-03-commons.u72	The Minister will be aware that, at 12.4% of GDP, the UK’s internet economy is by far the largest of all the G20; it is double that of the US, more than twice the size of Germany’s and about four times the size of France’s. Does the Minister agree that getting a good deal on the digital single market is particularly important for the UK, because so many jobs and so much of the economy depend on it?
ParlaMint-GB_2016-03-03-commons.u73	I agree with my hon. Friend. He points out the share of the internet economy, and it is incumbent on the Opposition to explain why they come to this House all the time to rubbish our digital record and pretend there is no broadband in the UK. How has the digital economy come about if people are not using the brilliant superfast broadband we are delivering?
ParlaMint-GB_2016-03-03-commons.u74	10. What recent steps he has taken to support tourism in Northamptonshire.
ParlaMint-GB_2016-03-03-commons.u75	Our five-point plan for tourism makes clear the Government’s support for the tourism industry. That includes a commitment to encourage tourists to explore the country beyond London. I am delighted that we have secured the £40 million Discover England fund. That competitive fund will encourage public and private sector partners across the country to come together and improve our English tourism offer.
ParlaMint-GB_2016-03-03-commons.u76	I thank the Minister for that answer, but what help is being provided to owners of historic homes, such as Rockingham Castle in my constituency, not only to conserve that important historic home and those around the country but to boost local tourism?
ParlaMint-GB_2016-03-03-commons.u77	My hon. Friend is well known as a real champion for his constituency and for Northamptonshire, and I commend him for that. I recognise the importance of privately owned heritage such as Rockingham Castle in supporting tourism. I am pleased to say that historic houses can apply for Heritage Lottery funding of up to £100,000 on projects that are a public benefit. Sites on Historic England’s heritage at risk register can apply for funding from Historic England. [Interruption.] It is very important for the hon. Member for Garston and Halewood (Maria Eagle) to know the facts.
ParlaMint-GB_2016-03-03-commons.u78	Mr Speaker, before you reprimand me, may I remind the House that John Clare was a Northamptonshire peasant poet? The John Clare Trust has opened his wonderful cottage to visitors and tourists, and the Minister would be welcome to pay an official visit at any time. Will he also tell the world that the trust supports the Every Child’s Right to the Countryside campaign to get kids out into the country and learning?
ParlaMint-GB_2016-03-03-commons.u79	The hon. Gentleman makes a powerful point. I endorse his comments and I look forward to visiting the area.
ParlaMint-GB_2016-03-03-commons.u80	15. Northamptonshire and Rugby share a heritage in leather products: in Northamptonshire it is footwear and in Rugby it is balls for the game that bears the town’s name. The town saw 50,000 visitors during the Rugby world cup, which established an interest in sport tourism. Does my right hon. Friend agree that now would be a good time to develop a permanent rugby-themed visitor attraction in the town? When we get that attraction, I will invite him to come along and visit.
ParlaMint-GB_2016-03-03-commons.u81	I commend my hon. Friend’s hard work in ensuring there were visitors to the birthplace of rugby during the Rugby world cup. I am interested in his proposition. I look forward to seeing what progress can be made and to visiting his area.
ParlaMint-GB_2016-03-03-commons.u82	11. What steps his Department is taking to improve competition among internet service providers
ParlaMint-GB_2016-03-03-commons.u83	We have a very competitive internet service provider market in the UK. Ofcom has just published its digital communications review. It promises further changes, which we welcome.
ParlaMint-GB_2016-03-03-commons.u84	Will the Minister tell the House what discussions he has had with the Department for Business, Innovation and Skills regarding the potential benefits of encouraging alternative investment and competition in the UK’s telecommunications infrastructure?
ParlaMint-GB_2016-03-03-commons.u85	We have announced a joint review with the Department for Business, Innovation and Skills of business broadband, and the Secretary of State for Business, Innovation and Skills takes a very close interest in that issue. Both Departments are very focused on Ofcom’s recommendations. My message to BT is that I hope it will reach agreement with Ofcom in the very near future.
ParlaMint-GB_2016-03-03-commons.u86	In areas where there is insufficient competition, tough regulation is required to ensure that existing providers are providing a fair service. In parts of rural Cheshire, there is no competition and insufficient regulation because Ofcom allows providers to charge a premium to rural customers because they live in rural areas. Where there is insufficient competition, will the Minister speak to Ofcom to provide that tough regulation and a fair deal for rural broadband customers?
ParlaMint-GB_2016-03-03-commons.u87	Yes. I met the chief executive of Ofcom yesterday, and I told her that we were four square behind the digital communications review, which includes, as I say, tough measures on BT—we want BT to reach agreement on that by the end of the year—and pro-consumer mechanisms such as automatic compensation, which we also strongly support.
ParlaMint-GB_2016-03-03-commons.u88	12. What plans the Government has to support the northern powerhouse through funding for the arts.
ParlaMint-GB_2016-03-03-commons.u89	I am pleased to say that there is strong support for the arts within the northern powerhouse project. For example, there is investment in the Factory in Manchester, as well as our backing for the Hull city of culture project and, of course, the Great Exhibition of the north.
ParlaMint-GB_2016-03-03-commons.u90	I welcome my hon. Friend’s statement and his plans for the future. This year sees the return of the Barnaby festival in Macclesfield, with over 100 events, 250 artists and performers—of course, all visitors are welcome. Does he agree that, with £90,000 of Arts Council funding joining the mix of private and public funding, that is a perfect example of how arts funding can help to add fuel to the northern powerhouse?
ParlaMint-GB_2016-03-03-commons.u91	I agree with that. I understand that the funding has helped, for example, to make the festival director a paid position for the first time. It is a great example of how the Arts Council is working with organisations all over the country, but particularly in the north, to support our world-class arts and heritage.
ParlaMint-GB_2016-03-03-commons.u92	As the Minister will know, the Royal Photographic Society’s archive was recently threatened with being moved from Bradford’s National Media Museum to London. What assessment has he made of the impact of such a move on cultural provision within Bradford, the wider Yorkshire region and, indeed, the northern powerhouse?
ParlaMint-GB_2016-03-03-commons.u93	I have been closely involved with the Science Museum on the future of the National Media Museum, and I am pleased that it is now being put on a firmer footing. However, I would say to the hon. Lady that there is extensive support for the arts in Bradford, with something like £9 million of Arts Council funding. I point her to the excellent article by the chief executive of the Arts Council about the support it is giving to Bradford.
ParlaMint-GB_2016-03-03-commons.u94	The Minister shows great artistry in the picture he paints, but we know that the regions were already losing out on arts funding by a ratio of 14:1 before the Chancellor chose to chop billions from northern local authorities struggling to maintain arts for all. The Sutton report last week said that the arts are becoming less and less accessible. Does the Minister agree that the arts are far too important to our culture and our identity to be left in the hands of a privileged few?
ParlaMint-GB_2016-03-03-commons.u95	I would certainly agree with the hon. Lady on that. Our forthcoming White Paper will announce new measures to increase access to the arts, but we have already supported, for example, music education hubs, extended the In Harmony scheme and introduced new schemes for the arts in schools, so I take great issue with her implicit criticism that we are not doing anything to increase access to the arts.
ParlaMint-GB_2016-03-03-commons.u96	13. If he will make an assessment of whether further steps need to be taken to investigate allegations of historical sex abuse in the public service broadcasting sector.
ParlaMint-GB_2016-03-03-commons.u97	The report published by Dame Janet Smith last week was the result of a comprehensive and wide-ranging review. This is clearly a matter for the BBC, which commissioned the review and is responsible for responding, but I know that the chair and director-general take these issues extremely seriously, and I have already had a discussion with the director-general about them.
ParlaMint-GB_2016-03-03-commons.u98	This four-year, £6 million inquiry confirmed that Jimmy Savile molested 72 victims, that he raped a youngster as young as eight and that attacks occurred in the corridors and dressing-rooms of every BBC premises over a period of 47 years, yet no senior manager, past or present, has accepted individual responsibility for failing to stop him. Does the Secretary of State believe that this is an adequate response from Britain’s leading public service broadcaster?
ParlaMint-GB_2016-03-03-commons.u99	I hope that my hon. Friend will read in full the statement by the director-general, which makes it clear that the BBC takes this matter very seriously. It has offered a full apology and fully accepts the recommendations of Dame Janet Smith. The important thing is that measures are put in place to ensure that this kind of thing can never happen again. A lot has been done already by the BBC, but I welcome the fact that the BBC has also accepted the recommendation that a further review be carried out to ensure that everything possible is being done to stop this kind of abuse ever happening again.
ParlaMint-GB_2016-03-03-commons.u100	T1. If he will make a statement on his departmental responsibilities.
ParlaMint-GB_2016-03-03-commons.u101	As you will know, Mr Speaker, today is World Book Day Since our last question time, my Department has published a summary of the responses to our consultation on the BBC charter review, Sir David Clementi’s report on the governance and regulation of the BBC, and the results of independent research on the BBC’s market impact. All those publications will inform our thinking The House will be delighted to hear that the Under-Secretary of State for Culture, Media and Sport, my hon. Friend the Member for Chatham and Aylesford (Tracey Crouch), has had a baby since the House last met. I am sure that Members will join me in congratulating her, and in wishing her and the new arrival well I know that the House will also join me in congratulating the British winners of last weekend’s Oscars, and in wishing our Davis Cup and track cycling teams well this weekend.
ParlaMint-GB_2016-03-03-commons.u102	The British horseracing industry has an economic impact of £3.5 billion a year, and the Aintree and Haydock racecourses are very popular with my constituents. Will my right hon. Friend tell us when he plans to require offshore bookmakers to make a financial contribution to racing, as those based in Britain already do?
ParlaMint-GB_2016-03-03-commons.u103	My hon. Friend is right to draw attention to the importance of horseracing to this country. I can tell him that we intend to introduce a new funding arrangement for British racing by April 2017. We will create a level playing field for British-based and offshore gambling operators, and will ensure a fair return for racing from all bookmakers, including those based offshore. The racing industry will be responsible for making decisions on the spending of the new fund. We will make further announcements shortly.
ParlaMint-GB_2016-03-03-commons.u104	Four out of five tourism companies surveyed by UKinbound believe that staying in the European Union is important to their business. UKinbound’s chief executive officer, Deirdre Wells, has said: “Saying ‘yes’ to staying in the EU sends a clear message that we are open for business.” Why is the Secretary of State so intent on damaging our tourism industry by campaigning for Britain to leave the European Union, against the policy of his own Government?
ParlaMint-GB_2016-03-03-commons.u105	I can tell the hon. Gentleman that, whatever the decision on Britain’s future membership of the European Union, this country will remain open to tourists, not just from the European Union but from across the world. We are already enjoying a steady increase in the number of international visitors, and I expect that to continue.
ParlaMint-GB_2016-03-03-commons.u106	T2. Fort Fareham is on Historic England’s heritage at risk register; it is listed as priority A. Built in 1861, it forms part of the region’s distinctive naval and coastal history. What support can the Minister give such heritage assets, which are at risk of rapid deterioration, particularly those in private ownership?
ParlaMint-GB_2016-03-03-commons.u107	I am well aware of Fort Fareham, which is one of several sites that testify to the important role of Portsmouth in the defence of our nation in the past. The purpose of the at risk register is to enable Historic England and other partners to target their advice and support at the sites that are in greatest need. I am pleased to say that Historic England is working with its partners in south Hampshire to make the most of the fantastic history of Portsmouth harbour.
ParlaMint-GB_2016-03-03-commons.u108	T3. I am sure that the Secretary of State was as aggrieved as I was to learn that late last year the Royal Society of Arts ranked South Tyneside as one of the lowest boroughs in the country on its heritage index. He should know as well as I do that South Tyneside has a huge amount of history and culture to offer. Would he consider accepting an invitation to come to the borough, with members of the RSA? He could take part in our summer festival, explore our ancient Roman sites, or perhaps pull a rabbit out of a hat during the upcoming annual magic show at our brilliant arts venue, the Customs House.
