ParlaMint-GB_2016-03-24-commons.u1	1. What steps she plans to take to reduce energy prices for indebted prepayment customers.
ParlaMint-GB_2016-03-24-commons.u25	It is extremely disappointing that after this lengthy investigation, the Secretary of State has decided to blame customers for not switching and to let energy companies off the hook, so perhaps I will try another one. The CMA inquiry has also found that price comparison websites are taking tens of millions of pounds a year in commission from the biggest energy companies. In 2014 alone, they were paid £24 million. Following her announcement that she will not hesitate to take forward the CMA’s recommendations, does she plan to implement the recommendation to allow the same websites to now deliberately hide the cheapest deals from customers?
ParlaMint-GB_2016-03-24-commons.u26	The hon. Lady has misunderstood me. There is no blame on customers and no blame is being apportioned. We are saying that the CMA has provided a wake-up call to the energy companies, which now need to take action to address competition within the area. We are confident that its recommendations will be key to delivering the competition and low prices that Labour so clearly failed to deliver before 2010.
ParlaMint-GB_2016-03-24-commons.u27	What about price comparison websites?
ParlaMint-GB_2016-03-24-commons.u28	We already have a price comparison website to which we refer people. The “be an energy shopper” website will then give customers a choice. I urge the hon. Lady to take a look herself and perhaps consider switching.
ParlaMint-GB_2016-03-24-commons.u29	2. What estimate she has made of the number of onshore wind applications made since June 2015.
ParlaMint-GB_2016-03-24-commons.u30	My hon. Friend will be delighted to know that we are delivering on our manifesto commitment to end new subsidies for onshore wind and to change the law so that local people have the final say on onshore wind farm applications. As of 14 March, 64 onshore wind farm applications above 1 MW had been submitted across the UK since 18 June 2015, only five of which were in England.
ParlaMint-GB_2016-03-24-commons.u31	As the director of the national anti-wind farm campaign, I obviously declare an interest. What impact is this change to the subsidy regime having on ensuring that emerging generation technologies can come forward, which ultimately is what the subsidies are intended to encourage?
ParlaMint-GB_2016-03-24-commons.u32	My hon. Friend is exactly right. The Government want to promote a wide range of energy sources, including renewables, to help us to meet our de-carbonisation targets, while keeping the lights on and bills down. For example, the Chancellor announced in the Budget our intention to hold three contracts for difference allocation rounds over this Parliament, allocating £730 million of annual support over the three auctions for new and emerging technologies such as, very importantly, offshore wind. As he rightly points out, however, as the cost of technologies comes down, we will make sure that subsidies do so as well.
ParlaMint-GB_2016-03-24-commons.u33	Does the hon. Lady agree with me and many of my constituents that it flies in the face of Ministers’ claims to be the greenest Government ever when local people have a veto on onshore wind, but that when it comes to fracking, particularly for my constituents in Lancashire, local views are not heard or represented?
ParlaMint-GB_2016-03-24-commons.u34	The hon. Lady is of course completely wrong, because all shale applications are subject to the local planning system, so communities absolutely do have a say on every planning application for hydraulic fracturing.
ParlaMint-GB_2016-03-24-commons.u35	In my constituency, we have had many applications for wind turbines, both on land and in the sea. As an alternative, SeaGen has a marine project harnessing tidal wave power. When it comes to alternatives that protect the environment, does the Minister agree that such projects should be given prominence?
ParlaMint-GB_2016-03-24-commons.u36	The hon. Gentleman is exactly right that there are huge prospects for marine and tidal technologies, but they remain very expensive. The Government have supported some demonstration projects and are looking closely at all the possibilities. As they become good value for bill payers, we will bring forward proposals for how we can support them further.
ParlaMint-GB_2016-03-24-commons.u37	Does the Minister expect the number of onshore wind applications to fall in the coming year, and what impact will that have on renewable wind’s proportion of the electricity mix?
ParlaMint-GB_2016-03-24-commons.u38	I can tell the hon. Lady that a lot of onshore and offshore wind projects are in the pipeline, so we expect renewables’ share to increase in the coming years. She will be aware that we have announced further CfD auctions specifically to support offshore wind, so we expect further increases in the deployment of offshore wind as the costs come down. That is an absolutely key requirement. As the costs have come down significantly, I certainly expect that it will be possible to deploy onshore wind farms, if communities want them, and without bill payer subsidy.
ParlaMint-GB_2016-03-24-commons.u39	We need to speed up a tad, and I am sure that we can be led in our mission by the hon. Member for East Worthing and Shoreham (Tim Loughton).
ParlaMint-GB_2016-03-24-commons.u40	3. What assessment she has made of the implications for her Department’s policies on energy efficiency of EU proposals to increase the level of VAT applicable to energy-saving products.
ParlaMint-GB_2016-03-24-commons.u41	The UK has applied a reduced rate on 11 different types of energy-saving materials since 2001. That remains in place and unchanged—and that is where we want it to stay.
ParlaMint-GB_2016-03-24-commons.u42	For 13 years, Gordon Brown laboured to reduce VAT on energy-saving materials in the face of EU opposition, even getting President Sarkozy onside in 2007, but to no avail. With VAT on installations set to increase to 20% after the European Court of Justice judgment, does the Minister agree that the most likely route to allow the British Government to incentivise energy saving in the interests of British consumers and the planet is to vote leave on 23 June?
ParlaMint-GB_2016-03-24-commons.u43	Let me take issue with my hon. Friend’s first point, which was that there will be no changes. If he checks the Finance Bill, which is published today, he will see that VAT is not rising as had been foretold. One reason why is the Prime Minister’s VAT action plan: he was able to go to Brussels and negotiate a better relationship so that countries can have their own VAT rates stayed. It seems to me that that is a very good example of the EU working for this country.
ParlaMint-GB_2016-03-24-commons.u44	I would like to follow up on that. It is just two days since the Government accepted the amendment that I and my hon. Friends the Members for Wigan (Lisa Nandy) and for Salford and Eccles (Rebecca Long Bailey) tabled to the Budget resolution. The Chancellor was the first in history who had to accept an Opposition amendment to his own Budget, and that was within a week of its delivery. Now we discover that the Finance Bill makes no provision whatsoever regarding VAT on energy-saving products. In fact, it is worse than that, because my hon. Friend the Member for Salford and Eccles has just received a written answer from the Financial Secretary stating that the Government are “still considering” their policy, and that the lower rate of VAT will continue only “in the meantime”. Will the Secretary of State tell us whether there is a now a U-turn on the U-turn?
ParlaMint-GB_2016-03-24-commons.u45	May I gently point out that a bit on energy saving would help?
ParlaMint-GB_2016-03-24-commons.u46	Thank you for that advice, Mr Speaker Let me point out to the hon. Gentleman that while it might be only two days since the amendment was moved, Government Members have been aware of the problem and have been engaging with Brussels, as was declared previously at the Select Committee, so we are clear that this approach is in the interest of the industry. I welcome the hon. Gentleman’s rather belated support for it.
ParlaMint-GB_2016-03-24-commons.u47	5. What steps she is taking to ensure the effectiveness of the capacity mechanism for new gas-fired power stations.
ParlaMint-GB_2016-03-24-commons.u48	New gas is already coming forward. Since 2010, six new combined cycle gas turbines have been commissioned, representing over 8 GW of capacity, but we will need more new gas as we close our coal-fired power stations as part of our decarbonisation objective. We have announced changes to the capacity market to buy more capacity, and to buy it earlier, thereby ensuring security of supply during the transition, as well as promoting investment in new plant such as gas.
ParlaMint-GB_2016-03-24-commons.u49	Given that Rugeley power station, which is coal fired and based in the constituency of my hon. Friend the Member for Cannock Chase (Amanda Milling), is scheduled to close, may I suggest that Rugeley would be an ideal site for a new gas power station?
ParlaMint-GB_2016-03-24-commons.u50	I pay tribute to my hon. Friend the Member for Cannock Chase (Amanda Milling) for her excellent work in representing those affected by the closure of Rugeley. The decision on how to use the site is obviously a commercial issue for ENGIE, but I encourage the company to discuss its plans with the Planning Inspectorate, which can clarify the process for building a new gas plant, and particularly how long it might take to do so.
ParlaMint-GB_2016-03-24-commons.u51	Yesterday marked the end of an era with the sad closure of Longannet power station. I put on record our thanks to the countless folks who worked there and kept the lights on in Scotland for over 40 years. When does the Minister expect new CCGT gas in Scotland to replace Longannet?
ParlaMint-GB_2016-03-24-commons.u52	I, too, wish to express enormous gratitude, on behalf of Conservative Members, for all the work that has been done at Longannet over the past 47 years. It certainly is the end of an era. It is astonishing that the plant was expected to last for only about 25 years, and the extension of that to 47 is pretty impressive As I have said, the capacity market needs to buy earlier and buy more capacity at a time when wholesale prices are so low and various plants are struggling, partly to ensure that new gas is available. The location of the combined cycle gas turbines will, of course, be a matter for individual developers.
ParlaMint-GB_2016-03-24-commons.u53	It will be a matter for developers, but one of the biggest hurdles to new CCGT in Scotland, and one of the reasons for the early closure of Longannet, has been the imposition of transmission charges, along with the additional costs that are levied on generators in Scotland, primarily owing to their location. Margins are tight, and they are getting tighter. Can we remove this barrier to new gas generation?
ParlaMint-GB_2016-03-24-commons.u54	It is extraordinary that the hon. Gentleman should say that, because Scottish consumers are huge beneficiaries of locational charging. He needs to look at the situation in the round. Scottish consumers benefit from being part of a Great Britain-wide energy market. Had the Scots voted for independence, today would have been the day when they were on their own. Issues such as the price of energy and the locational pricing would have worked very much to their detriment without that GB-wide market.
ParlaMint-GB_2016-03-24-commons.u55	I thank my hon. Friend the Member for Stafford (Jeremy Lefroy) for raising the possibility of a gas-fired power station at Rugeley B if the existing power station is closed. Existing infrastructure with national grid connectivity and a highly skilled work force could be used in that event. What measures are being taken to encourage the development of gas-fired power stations on sites such as Rugeley B, where energy generation has been taking place for decades?
ParlaMint-GB_2016-03-24-commons.u56	My hon. Friend has done a great job in promoting that idea, and, while I do not want to stray into the realms of telling a private company what to do, we would be very pleased if this company looked into the opportunities for establishing a new gas plant. The capacity market auction will give certainty to potential providers of new gas plants, and should lead the company to consider those opportunities very seriously.
ParlaMint-GB_2016-03-24-commons.u57	Is it not very odd that the Tory Government never seem to talk about the 40 million tonnes they are importing from countries abroad that they cannot even trust? Rather than keeping the British pits open, this Tory Government have presided over even more coal imports. Which of the power stations will use that coal? They will not be using gas. There will have to be power stations to use that coal. Where are they going to be?
ParlaMint-GB_2016-03-24-commons.u58	I am sure the hon. Gentleman will be pleased to know that a new opencast coal mine has recently started producing—
ParlaMint-GB_2016-03-24-commons.u59	That is not a coal mine. It is opencast.
ParlaMint-GB_2016-03-24-commons.u60	The hon. Gentleman must surely acknowledge that the time for deep coal mines is over, because of the health implications and the carbon implications.
ParlaMint-GB_2016-03-24-commons.u61	In Britain.
ParlaMint-GB_2016-03-24-commons.u62	The hon. Gentleman must be aware that my Department is committed to moving away from coal, through gas, to a clean energy future.
ParlaMint-GB_2016-03-24-commons.u63	The Secretary of State has produced no impact assessment to accompany her proposals to bring forward the first year of the application of auctions to the capacity market, but all estimates confirm that the auction will have to clear at a far higher price than has hitherto been the case if any new capacity is to be produced by means of this device, with a consequent huge cost to bill payers—an extra £20, according to some estimates. What does the Minister think the additional cost to customers will be, and can she look me in the eye and tell me with reasonable conviction that she is sufficiently certain that the auction will lead to substantial long-term capacity agreements for new plant to make that huge cost anywhere near justifiable?
ParlaMint-GB_2016-03-24-commons.u64	I can absolutely look the hon. Gentleman in the eye and tell him that bringing forward the capacity market a year early—I am trying to make serious eye contact with him; I am not looking away for a moment—is absolutely in the interests of consumers. He will know that, with wholesale prices where they are at present, old plants are struggling to continue. By bringing forward the capacity market, we are giving them the certainty they need to ensure security of supply. If you like, this is an insurance policy on security of supply, and it is absolutely in the interests of consumers.
ParlaMint-GB_2016-03-24-commons.u65	6. What steps her Department is taking to increase investor confidence in the low-carbon economy.
ParlaMint-GB_2016-03-24-commons.u66	My Department is committed to providing investors with certainty, and I set out a clear vision for this Government’s energy policy last November in order to achieve just that. In the past month, we have provided certainty on the capacity market, on contracts for difference auctions over the next four years and on taxation for the UK’s oil and gas industry.
ParlaMint-GB_2016-03-24-commons.u67	As a result of changes in Government policy, Greater Manchester Community Renewables has had to scale back its solar PV project from 20 sites to four, meaning that 16 schools have missed out on solar panels and the local economy has missed out on more than £1 million of investment. It is estimated that there are 8 MW of stalled schemes in Greater Manchester, equating to about £10 million of investment. Is this not an indication that Government policy is in fact leading to a fall in investor confidence?
ParlaMint-GB_2016-03-24-commons.u68	I do not share the hon. Gentleman’s interpretation. In fact, we have seen increased investment this year in solar and other renewables. We have changed the subsidies on solar, so solar will go forward only where it is well sited and makes a good return for the investors. That is what we have to do as a Government, because we want to strike a balance between supporting renewables and managing consumers’ bills.
ParlaMint-GB_2016-03-24-commons.u69	Investors in low-carbon energy need clarity and confidence about the energy strategy for the next decade and beyond. The Chancellor could have provided that clarity by setting out the funding in the levy control framework beyond 2020 in last week’s Budget, as 15 of his Conservative colleagues reportedly urged him to do. Does the Secretary of State agree with them that he should have done that, as it would have improved confidence in low-carbon energy?
ParlaMint-GB_2016-03-24-commons.u70	The hon. Lady will be aware that what the Chancellor did set out in the Budget was certainty on the amount and timing of contracts for difference, which was very welcome for the investment community. There will be further announcements on the levy control framework, but let us bear in mind that the LCF was the first of its kind and that it runs until 2020-21. We have said that we will set out how much will be available in future, but for now the hon. Lady will just have to be a little more patient.
ParlaMint-GB_2016-03-24-commons.u71	Last September, the independent Committee on Climate Change warned that the Government’s stop-start investment profile was undermining investor confidence and increasing the cost of low-carbon generation. The Secretary of State ignored it. Last month, the Energy and Climate Change Committee reported its concern that increased policy uncertainty was leading to increased risk premiums for investors, which will result in consumers paying more in the long run. Can the Secretary of State look me in the eye and explain exactly how she thinks this ties in with the Prime Minister’s insistence that his Government are safeguarding the interests of future generations?
ParlaMint-GB_2016-03-24-commons.u72	I can assure the hon. Gentleman that I am quite capable of looking him—and indeed the whole shadow Front Bench—in the eye. I can also assure him that we are absolutely focused, as are the Prime Minister and the Chancellor, on delivering for the future generation and looking after bill payers. This is about getting the right balance and supporting renewable energy until it can stand on its own two feet.
ParlaMint-GB_2016-03-24-commons.u73	7. What steps her Department is taking to enshrine the commitment to net zero emissions made at the Paris climate change conference of December 2015 in UK law.
ParlaMint-GB_2016-03-24-commons.u74	As confirmed last Monday during the Report stage of the Energy Bill, the Government will take the step of enshrining into UK law the long-term goal of net zero emissions, which I agreed in Paris last December. The question is not whether we do it but how we do it.
ParlaMint-GB_2016-03-24-commons.u75	I am sure we all welcome that change of heart from the Government thanks to the campaign waged by my right hon. Friend the Member for Doncaster North (Edward Miliband), but how does the Secretary of State think the Government’s antipathy towards the renewables industry—and the fact that she has a Minister who is actively campaigning for Brexit—will help to achieve that target?
ParlaMint-GB_2016-03-24-commons.u76	There has been no change of heart. I was at the Paris climate change talks and we fought for a high ambition. We ran the high ambition coalition meetings and we are absolutely committed to delivering on our existing commitments and to looking further ahead. This Government are committed to that and we believe we can do it better by staying within the EU.
ParlaMint-GB_2016-03-24-commons.u77	After we passed the Climate Change Act 2008, we hoped that other EU countries would follow with similar commitments: none did. Indeed, many countries, including Austria, Holland and Ireland, have made no emissions savings since 1990. We saw the result of that in the Paris COP 21 when the EU submission was significantly lower than the UK’s targets. Can the Secretary of State look me in the eye from her position and tell me that we will not be acting unilaterally this time?
ParlaMint-GB_2016-03-24-commons.u78	Order. May we have an end to this rather tedious business of requests for looks in the eye? I say that in the context of answering the hon. Gentleman because the Secretary of State’s responsibility is to address the House. If she looks at anybody, she should look at the Chair. She certainly should not be looking behind her at the hon. Gentleman, a very agreeable sight though it may be.
ParlaMint-GB_2016-03-24-commons.u79	Thank you for that guidance, Mr Speaker. May I point out to my hon. Friend that a positive element of the Paris deal is that other countries are now making commitments? I know that he is concerned that other EU countries are not making the same commitments as us, and it is correct that our Climate Change Act is one of the most ambitious, but I am proud of it and other EU countries are beginning to emulate it, although there is more work to do.
ParlaMint-GB_2016-03-24-commons.u80	Since 2010, the Government have presided over a sharp reduction in the number of households receiving energy efficiency measures. Does the Secretary of State agree that meeting a net-zero emissions target will require a step change in the Government’s energy efficiency polices? If so, when might we see that?
ParlaMint-GB_2016-03-24-commons.u81	I wonder whether the hon. Gentleman is aware of the EU directive coming in in 2020 to make all new houses nearly net-zero. We will be sticking to it, which will be a helpful addition to ensuring that new houses do not have the same problems that some have at the moment.
ParlaMint-GB_2016-03-24-commons.u82	10. What discussions she has had with the Chancellor of the Exchequer on the effect of the level of fuel duty on climate change.
ParlaMint-GB_2016-03-24-commons.u83	Questions on the level of fuel duty are principally a matter for the Treasury. However, reducing emissions from vehicles is an important part of this Government’s approach to tackling climate change, and we are carefully considering how best to deliver that in a way that is affordable for consumers.
ParlaMint-GB_2016-03-24-commons.u84	I do not often argue for price increases, but fuel is now cheaper than at any time since 2009—less than £1 a litre in most places—which is having a terrible impact on the environment. More cars on the road means more air pollution and, indeed, more accidents. Should we not be thinking very carefully about that?
ParlaMint-GB_2016-03-24-commons.u85	I reassure the hon. Gentleman that we always think very carefully about such issues. Conservative Members believe it is right to protect family incomes and that it is welcome that the cost of fuel is down. However, we do not take it for granted that we can make changes to important vehicle emissions, so we are also investing in electric vehicles. For example, we have committed £600 million up to 2021 to support the uptake and manufacture of ultra-low emission vehicles, which is projected to save 65 million tonnes of carbon.
ParlaMint-GB_2016-03-24-commons.u86	11. What assessment she has made of the effect on the feedstock supply chain of her Department’s proposals to improve the sustainability of the use of biomass in the heat and electricity sectors.
ParlaMint-GB_2016-03-24-commons.u87	May I gently point out, Mr Speaker, that as my right hon. Friend the Secretary of State and I are mothers, we have eyes in the back of our heads and are able to make eye contact right around the Chamber As my hon. Friend the Member for Selby and Ainsty (Nigel Adams) knows, mandatory biomass feedstock sustainability criteria came into force under the renewables obligation from 1 April 2015 and under the renewable heat incentive from 5 October 2015. The criteria will ensure that biomass is sourced from sustainably managed forests and provides a minimum 60% life-cycle greenhouse gas saving over our average fossil fuel mix.
ParlaMint-GB_2016-03-24-commons.u88	I am grateful for that reply and congratulate the Minister and her Department on the UK’s sustainability criteria for solid biomass being among the most robust in the world, but why is the Department holding back from further deployment of this affordable, reliable source of low-carbon power?
ParlaMint-GB_2016-03-24-commons.u89	On 17 March, the Chancellor announced that the overall budget for three CfD auctions in this Parliament will total £730 million of annual support. That is for pot 2, which includes biomass, combined heat and power, advanced conversion technologies, and anaerobic digestion. We see the use of biomass in coal conversions as a transitional technology, helping us on our path to a low-carbon economy. We have already made significant commitments to the sector, supporting 1.6 GW of biomass conversions.
ParlaMint-GB_2016-03-24-commons.u90	I recently met a group of EU foresters—it was a very unusual meeting—at a symposium in Milverton in my constituency to discuss sustainable forestry. They expressed concerns that our growing biomass industry is putting pressure on many countries further afield to supply wood, possibly causing deforestation. Will the Minister assure us that sustainability is a key part of encouraging this exciting new biomass industry?
ParlaMint-GB_2016-03-24-commons.u91	An exciting gig indeed!
ParlaMint-GB_2016-03-24-commons.u92	My hon. Friend enjoys that kind of meeting very much. I can absolutely assure her that we keep the whole question of sustainability under review. She will be interested to know that analysis of the 2013-14 sustainability data that companies report to Ofgem under the renewables obligation shows that all the reported biomass achieved the greenhouse gas saving target and met the land criteria, two years before they are mandatory. But we do keep this under review.
ParlaMint-GB_2016-03-24-commons.u93	12. What steps she is taking to prevent protected areas from being adversely affected by the development of shale gas.
ParlaMint-GB_2016-03-24-commons.u94	Shale gas could become a valuable new industry and it is in the strong interests of the UK to explore its potential. However, we are determined to protect our most valuable spaces, and therefore it is our intention to ban surface-level drilling in the most precious areas, including national parks and sites of special scientific interest. We have also regulated to make sure hydraulic fracturing cannot take place at less than 1,200 metres under protected areas.
ParlaMint-GB_2016-03-24-commons.u95	I thank the Minister for that reply. Although I am sure it will allay the concerns of some, does she believe that more can be done to extol the positive virtues of shale gas, including, for example, the new jobs and security of energy supply it will bring?
ParlaMint-GB_2016-03-24-commons.u96	My hon. Friend is right to point out that there are lots of benefits of shale gas. The first is energy security, as we could be importing about 75% of our gas by 2030. The second is jobs, as the industry could mean jobs and opportunities for the UK, with a report by Ernst & Young estimating that a thriving shale industry would create up to 64,000 jobs. The third is benefits to communities, as those hosting shale developments will see a direct share of the benefits through an industry-funded package, and the shale wealth fund will mean that up to 10% of the tax revenues from shale gas deliver investment directly to local communities.
ParlaMint-GB_2016-03-24-commons.u97	13. What assessment her Department has made of the potential effect of changes to subsidies on the predicted deployment rates of renewable energy by 2020.
ParlaMint-GB_2016-03-24-commons.u98	The Government announced a package of proposed cost control measures last year to tackle the projected overspend on renewable support schemes. As the costs of technologies come down, as they have, it is right that subsidies do so as well. We are fully committed to supporting renewable energy, but will do so at least possible cost to consumers and businesses.
ParlaMint-GB_2016-03-24-commons.u99	I regularly meet the great number of businessmen and businesswomen in my constituency who are engaged in the renewables industry. Does the Secretary of State agree that we must support this kind of innovation and entrepreneurship in the renewables industry?
ParlaMint-GB_2016-03-24-commons.u100	My hon. Friend is absolutely right about that, and the entire purpose of subsidies is to give new industry and innovations in the renewables industry a good start. Subsidies are not intended to be permanent; they are about getting these things started and giving them a good start so that they can then carry on and deliver secure renewable energy, subsidy-free.
ParlaMint-GB_2016-03-24-commons.u101	14. What assessment she has made of recent trends in the rate of switching in the retail energy market.
ParlaMint-GB_2016-03-24-commons.u102	My Department has taken action to make it simpler and quicker to switch supplier. I am happy to tell my hon. Friend that the number of households switching supplier is increasing—in 2015, it reached a four-year high. The latest figures released by Ofgem show that 6.1 million domestic energy supply accounts were switched in 2015, which is a 15% increase on the 2014 figure.
ParlaMint-GB_2016-03-24-commons.u103	I thank my right hon. Friend for that reply and for her assistance in my work with the Behavioural Insights Team on trying to create the receipt of the winter fuel payment letter as a switching point for those who are retired. What further steps are she and her Department going to take to ensure that older citizens in this country are encouraged to switch, because they have traditionally been the hardest-to-reach group?
ParlaMint-GB_2016-03-24-commons.u104	My hon. Friend is entirely right to focus on that older group, who sometimes are more resistant to switching. I thank him for the help he has given through his work with the Behavioural Insights Team and the Department on ways to encourage more elderly people to switch supplier through our communications to those eligible for winter fuel payments. The Competition and Markets Authority made proposals just last week that are designed to encourage all consumers to switch, including those over 65. The Government have committed to appropriate implementation of the recommendations, following publication of this report in full.
ParlaMint-GB_2016-03-24-commons.u105	15. What steps she is taking to support oil and gas exploration and development.
ParlaMint-GB_2016-03-24-commons.u106	Last week, the Chancellor announced a £1 billion fiscal package to reduce the additional taxes historically imposed on the North sea as well as to introduce targeted measures to encourage investment in exploration, infrastructure and late-life assets. That builds on the Prime Minister’s January announcement of a £20 million package of new investment in exploration, innovation and skills; a new interministerial group; and funding for the £250 million Aberdeen city region deal.
ParlaMint-GB_2016-03-24-commons.u107	I appreciate the Minister’s answer. Oil & Gas UK, the industry body, has said that we need a fourfold increase in exploration to ensure that the 20 billion barrels that are still there are recoverable. The extra funding for the seismic surveys has been most welcome and we appreciate it. Will the Minister expand a little on what other action the UK Government will take to increase the confidence in the industry and to encourage further exploration?
ParlaMint-GB_2016-03-24-commons.u108	The industry is vital for the UK, and we will continue to support it in every way we can. I have already mentioned some of the measures. Perhaps I will just reiterate that, in setting up the Oil and Gas Authority on Sir Ian Wood’s recommendations, we are establishing an authority that is welcome by the industry, that will improve the economic recovery of the sector, and that will ensure that we do not move to early decommissioning, which is all very good news for the North sea sector.
ParlaMint-GB_2016-03-24-commons.u109	16. What progress has been made on the independent review on tidal lagoon energy announced in February 2016.
ParlaMint-GB_2016-03-24-commons.u110	My Department has made good progress in setting up the review team and we will shortly be announcing the name of the individual who will lead the independent review. The review is on track to start this spring and, we hope, complete in the autumn.
