ParlaMint-GB_2016-12-08-lords.u1	To ask Her Majesty’s Government what are their plans for investment in the East Coast Main Line.
ParlaMint-GB_2016-12-08-lords.u12	The noble Lord raises the important issue of electrification, but the new rolling stock will have the adaptability to ensure that challenges are met in that respect and can be headed off in the right way.
ParlaMint-GB_2016-12-08-lords.u13	My Lords, the pleasure that your Lordships may derive from my occasional contributions to debate in this House is about to become more costly, because Virgin Trains is increasing prices, particularly on the north of the east coast main line, by as much as 7.3%. Do the Government have a view on the charges that this company is making, as opposed to the rest of the rail system? Will the noble Lord kindly clarify when we can expect to see the most important improvement on the rail network—on the cross-Pennine route from Newcastle to the north-west?
ParlaMint-GB_2016-12-08-lords.u14	That is part of the ongoing discussions, and the noble Lord will be aware of Transport for the North and its plans. It is right that as those plans take shape we are in discussions to ensure that the very routes that the noble Lord is talking about are prioritised in the right way. Regarding the charges made for the various services on the rail network, like everyone in your Lordships’ House, we always look to the companies running them to ensure that they reflect the level and quality of service we want. As a regular user of train services, that point should be made to the operator of that particular line.
ParlaMint-GB_2016-12-08-lords.u15	Will my noble friend the Minister encourage my noble friend Lord Cormack to arrange an awayday visit for us all to historic Lincoln?
ParlaMint-GB_2016-12-08-lords.u16	I am sure my noble friend has heard that loud and clear, and perhaps the ability to move your Lordships’ Chamber for a day away is a challenge that my noble friend might well take up.
ParlaMint-GB_2016-12-08-lords.u17	My Lords, is the Minister aware that, when I first came to this House 17 years ago, the franchise was held by GNER? I remember regularly dining for breakfast on Craster kippers from Northumbria. Could the Minister use his undoubted influence to bring that menu back?
ParlaMint-GB_2016-12-08-lords.u18	I forever regard contributions from your Lordships’ House as an education in history and in rail history in particular. I shall certainly take that back and suggest to my honourable friend the Rail Minister that he puts that on his to-do list.
ParlaMint-GB_2016-12-08-lords.u19	To ask Her Majesty’s Government whether they intend to give powers to local authorities to prevent the further loss of long-term residential accommodation resulting from increases in short-term holiday lets.
ParlaMint-GB_2016-12-08-lords.u20	I beg leave to ask the Question in my name on the Order Paper and remind noble Lords that my interest is declared in the register.
ParlaMint-GB_2016-12-08-lords.u21	My Lords, local planning authorities already have a range of ways to tackle any breaches of planning control, which should be used in a proportionate manner. Any enforcement action is discretionary and should be undertaken when the authority considers it to be expedient, having regard to any material considerations.
ParlaMint-GB_2016-12-08-lords.u22	I thank the Minister for that Answer, but he does not seem to remember that last year we deregulated and took many powers away from local authorities, just at the time when New York and Paris were about to regulate. Right now, from all around the world—from Venice, Australia and Canada—we are hearing about a complete loss of long-term residential accommodation for those who want it. One country this week has announced in the press that it will not allow any of these short Airbnb-type holidays in blocks occupied by long-term residents. Does he not think there is a case to be made for that here?
ParlaMint-GB_2016-12-08-lords.u23	My noble friend should take some credit for the recent decision by Airbnb to stop homeowners letting properties for more than the 90 permitted days. Her tireless campaign in this House, supported by noble Lords on both sides, has led to that change of mind. It is greatly welcome and I hope that others in this market will follow suit On her question about problems in leasehold flats, quite extensive powers are already available. I shall quote briefly from a letter that I got. Like many other noble Lords, I am a leaseholder of a flat in London, which is not available for short-term letting. But one person in the block advertised their flat and, as a result, this is what all the leaseholders got: “It has been brought to our attention that a leaseholder is currently subletting their flat on a short term basis via the website”, X. It goes on to say: “The terms of the lease for”, X court, “do not permit sub-lets for a period of less than six months and not without prior written consent from the Landlord. It is considered that this leaseholder is in breach of the terms of their lease. Furthermore, Westminster Council prohibit short term lets and can impose a fine of up to £20,000 to you for non-compliance. Please refrain from short-term letting your flat and arrange to have the advertisements removed immediately. Failure to do so could result in the local authority being notified and this matter being referred to solicitors for breach of your lease with further legal action being taken if the breach is not rectified” That indicates that for many blocks of flats, the powers are already there to stop flats being let on this basis.
ParlaMint-GB_2016-12-08-lords.u24	I am disappointed that the Minister has been so dismissive of the suggestion from the noble Baroness. This is happening not only in urban areas; in many rural areas such as national parks, including the Lake District National Park, and in certain villages, over 50%— sometimes over 70%—of local houses are now available only on holiday lets. We need to change this if we are going to keep a viable, living rural community.
ParlaMint-GB_2016-12-08-lords.u25	I respect what the noble Lord has said, and I hope that I was not complacent. Outside London, of course, the recent changes to which my noble friend referred do not apply; outside London, it has always been possible to let on a short-term basis for as long as you want without any control. It is in London that the 90-day limit applies I accept what the noble Lord says. We want to try to enable homeowners who are not using their properties—or, indeed, rooms in their properties—for a certain length of time to let them on a short-term basis to those who want to move in. It helps the homeowner to increase their income and increases the range of accommodation available for tourists to this country. But I take on board the noble Lord’s point and would like to reflect on it.
ParlaMint-GB_2016-12-08-lords.u26	Regarding Cornwall, will the Minister support the residents of St Ives who decided in a referendum, upheld by the High Court, that new homes would be solely for a person’s main residence? Will he encourage other councils, such as those in the Lake District, to take similar action to ensure that local people can find and afford a new home?
ParlaMint-GB_2016-12-08-lords.u27	Again, that is a similar point to the one just made by the noble Lord. The Neighbourhood Planning Bill is on its way to your Lordships’ House, and there will be an opportunity to consider amendments and discuss issues such as the ones that have been raised. I do understand the genuine concerns raised on all sides.
ParlaMint-GB_2016-12-08-lords.u28	My Lords, is not the essence of the problem in London that local authorities are not using their powers? I understand that 61% of all the homes and apartments on Airbnb were listed as being available for more than 90 days. How can that be when 90 days is the limit? Clearly, local authorities are disregarding the breach of that rule.
ParlaMint-GB_2016-12-08-lords.u29	Of course, that particular abuse—if I can use that term—will be stopped next spring, when Airbnb apply the restriction to which I referred. It is also worth reminding my noble friend, and indeed my noble friend Lady Gardner, that it is possible for a local authority to remove the 90-day rule and apply for an exemption, either for particular properties or for residential properties situated in a specific area, if there is a “loss of amenity”. If that is the case, the ability to short-let for up to 90 days does not apply.
ParlaMint-GB_2016-12-08-lords.u30	My Lords, back in July the Minister kindly wrote to me to reassure me that the promised £60 million fund to enable rural and coastal communities to provide accommodation for local people was still on course, despite it having been delayed following the events in June. It is nearly 2017 and I do not think we have heard any more about that fund. Can the Minister assure your Lordships’ House that the scheme is still on course? When will the money be made available for those communities suffering most from second-home ownership?
ParlaMint-GB_2016-12-08-lords.u31	I understand the concern that the right reverend Prelate has raised; may I write to him when I have further details about that? I hope to be able to give him the assurance that he has just sought.
ParlaMint-GB_2016-12-08-lords.u32	First, I declare an interest as a councillor in the London Borough of Lewisham and as a vice-president of the Local Government Association. I welcome the announcement from Airbnb that it will ban people renting out properties on its site for more than 90 days from next year. Notwithstanding the answer the Minister gave to the noble Baroness, Lady Gardner of Parkes, can he confirm that if anything comes to light whereby this company—or any other company or organisation involved in this process—is not fulfilling its obligation to ensure that landlords live up to theirs, and that they are offering proper assured shorthold tenancies for more than 90 days, the Government will work with the Mayor of London, London Councils, the Residential Landlords Association and others to see what can be done to strengthen the law and ensure that tenants get the protections they deserve?
ParlaMint-GB_2016-12-08-lords.u33	The Mayor of London has written on this specific subject, saying: “I support the right of Londoners to be able to benefit from renting out their homes for short periods, to meet new people, earn a little extra money, and add to the residential offer for visitors. I want to encourage as many people as possible from around the world to visit London, and I welcome the fact that Airbnb and similar sites help make it cheaper and easier for people to do so” So that is where the Mayor is coming from. I take on board the point that the noble Lord has just made about enforcement. You are in breach of the law if you let for more than 90 days in a calendar year, and local authorities have the relevant enforcement powers to deal with any breach.
ParlaMint-GB_2016-12-08-lords.u34	To ask Her Majesty’s Government, further to the answer by Baroness Williams of Trafford on 9 November concerning the report by Sir Richard Henriques into Operation Midland, what guidance they have given to police forces about measures to prevent the harassment by third parties of suspects under investigation in connection with claims of sexual abuse.
ParlaMint-GB_2016-12-08-lords.u35	My Lords, the protection of suspects experiencing harassment is an operational matter and one that forces should consider on a case-by-case basis. However, I can confirm that the College of Policing is currently developing general guidance on stalking and harassment and updating existing guidance on police relationships with the media.
ParlaMint-GB_2016-12-08-lords.u36	Do the Government share the widespread feelings of disappointment that the Metropolitan Police’s response to the truly damning Henriques report has so far been—to use polite words—rather muted? In the aftermath of Operation Midland and other scandals, do we not need to be sure that certain misdeeds will never be repeated—for instance, that the BBC and the police will never again collude in the manner that they did in the case of the wholly innocent Sir Cliff Richard? Do we need a binding police code of conduct to which all those unfairly and falsely accused—indeed, everyone— can have ready access?
ParlaMint-GB_2016-12-08-lords.u37	I hope I can reassure my noble friend that the Metropolitan Police will be consulting on all the review’s recommendations with the National Police Chiefs’ Council, police and crime commissioners, the College of Policing, and the statutory and voluntary partners in the criminal justice system. In addition, police investigations into persons of public prominence and institutions are now nationally co-ordinated under Operation Hydrant.
ParlaMint-GB_2016-12-08-lords.u38	My Lords, is there not a short answer to this problem—for the police not to publish names of suspects before charging?
ParlaMint-GB_2016-12-08-lords.u39	My Lords, there is a general presumption of anonymity pre-charge but there are operational reasons why the police might wish to release names. I must say, however, in the context of this week, that if the legislation on pre-charge anonymity recommended in the review was in place today, it would have prevented the UK media reporting the claims that we have heard this week and last of some of those alleged victims where there had been no arrests.
ParlaMint-GB_2016-12-08-lords.u40	My Lords, does the Minister agree that pre-charge anonymity, and legislating for that, is one potential solution to the problem, but that pre-charge anonymity is a complex issue, with passionately held views on both sides, and that it cannot be adequately dealt with in an Answer to an Oral Question?
ParlaMint-GB_2016-12-08-lords.u41	I agree with the noble Lord in that we have debated this issue during the passage of the Policing and Crime Bill. We have had some very good debates on it and I understand that there are strong feelings on both sides. However, the point here is that we need to get the balance right. There should be a presumption of anonymity, but in cases where it may allow evidence to come forward or where new victims could feel comfortable in coming forward, it should be the police’s operational decision to release names.
ParlaMint-GB_2016-12-08-lords.u42	My Lords, is the Minister aware that in 2003, when there was a Division in this House on this very matter, the whole of the Conservative Benches voted in favour of not only pre-charge anonymity but anonymity post-trial in the event that someone was found innocent, and up to conviction in the event that they were found guilty? If that is the case, how can the Minister possibly sustain the position that the Government are now taking on the Bill going through Parliament?
ParlaMint-GB_2016-12-08-lords.u43	My Lords, very strong feelings on pre-charge anonymity have been expressed, and I have not in any way sought to dismiss them. The law has changed and we have moved on. However, in the light of some of the allegations of historical sexual abuse—and, as I say, in the light of some of the allegations made this week and last in connection with football—it is important in certain circumstances, bearing in mind that presumption of anonymity, for those names to be released.
ParlaMint-GB_2016-12-08-lords.u44	We have already made clear from this Dispatch Box our position in respect of pre-charge anonymity in the debates we have had on the issue during the passage of the Policing and Crime Bill. We will continue that debate on Monday. I believe the Minister referred to guidelines being drawn up by the College of Policing. Does the Home Secretary intend to have any input at all into those guidelines? Will she see them before they are published, or is it her view that she has no role at all in relation to the content of those guidelines?
ParlaMint-GB_2016-12-08-lords.u45	I can tell the noble Lord that the College of Policing is developing the new authorised professional practice on media relations, which covers the release of suspects’ names. It has consulted extensively on this. The existing guidance is clear that we expect forces to adhere to this. However, responses are being analysed. The APP is due for publication in the new year and the Government will reflect on it.
ParlaMint-GB_2016-12-08-lords.u46	In so far as, in 2003, the Conservative Benches voted in the way they did, why do not Ministers arrange for a free vote on pre-charge anonymity on Monday, which is the lesser position?
ParlaMint-GB_2016-12-08-lords.u47	My Lords, as I say, over time views on this have changed, and views within parties have changed. The Labour Government had a clear view on pre-charge anonymity. I recognise that it is a very difficult issue. However, I stress that it is important to get the balance right between people’s personal liberty and the need to bring people who might be guilty of perpetrating such crimes to justice.
ParlaMint-GB_2016-12-08-lords.u48	To ask Her Majesty’s Government, in the light of the publication of the National Shipbuilding Strategy, when they intend to replace the Type 23 Frigates.
ParlaMint-GB_2016-12-08-lords.u49	My Lords, eight Type 26 global combat ships will be built to replace the current eight anti-submarine warfare Type 23 frigates on a one-for-one basis. The build schedule for the Type 26 is being addressed as part of ongoing contractual negotiations. As announced in the SDSR, the general purpose Type 23 frigates will be replaced by a new class of lighter, flexible, exportable general purpose frigates. This project is in its pre-concept phase.
ParlaMint-GB_2016-12-08-lords.u50	I thank the noble Earl for his Answer. He has told me on the Floor of this House on at least two occasions that a report on shipbuilding would come out this autumn which would lay down a steady drum beat of orders. Sir John Parker’s report has no financial basis—there is no detail there of a drum beat of orders—and now, as I understand it, the shipbuilding report will come out next spring. I know from my time in government that spring can be as late as July. Is it still our Government’s intention to increase frigate numbers by the 2030s, which is not far away in shipbuilding terms, and how will they achieve that with regard to these general purpose frigates? How quickly will they need to be built to achieve that figure?
ParlaMint-GB_2016-12-08-lords.u51	My Lords, yes, it is the Government’s intention to increase the size of the fleet through the general purpose frigate. We are talking now in the long term, but that is our intention. As the noble Lord is aware, we published Sir John Parker’s report on 29 November. It contains 34 detailed recommendations, and it is not unreasonable that the Government should take a little while to give those recommendations due thought. Some of them are pretty adventurous, but all of them are designed to ensure that we can in the long term deliver growth to the fleet, which we all want.
ParlaMint-GB_2016-12-08-lords.u52	My Lords, the naval procurement budget, as well as the whole defence budget, has been entirely skewed by the purchase of these two magnificent QE-class carriers, which we look forward to coming into service. Will my noble friend agree that it is important that we learn the lessons of the profligacy of a decade ago with a long-term view, so that the defence budget is not in future skewed with the damaging effects that the noble Lord has just mentioned?
ParlaMint-GB_2016-12-08-lords.u53	I am not sure that I entirely agree with my noble friend that the defence budget has been unduly skewed. Of course we understand that the carriers are expensive ships, but they are also good investments. To balance the carriers there is the programme for the new Type 26 global combat ship, the Dreadnought and Astute-class submarines, offshore patrol vessels and, in the longer term, as I said, the lighter general purpose frigate. Therefore we can see a good balance of shipbuilding over the years ahead.
ParlaMint-GB_2016-12-08-lords.u54	My Lords, I declare an interest as a sponsor of the magnificent HMS “Somerset”. With the replacements the Minister has mentioned, there will still be only 19 warships. Will he agree that with so few hulls remaining in the water, the greater should be the spread of capabilities of these replacements to be flexible in their employment? How will this be assured with the replacements—the Type 26 and the Type 31—particularly with reference to anti-surface capabilities?
ParlaMint-GB_2016-12-08-lords.u55	The great thing about the Type 31 concept is that it will be adaptable and flexible to meet any given type of requirement, and because of that it will also be exportable. This is where we will get into what we all hope will be a steady drum beat of shipbuilding, as mentioned by the noble Lord, Lord West. However, I should make it clear that no decisions have been taken about the precise number of general purpose warships. We believe that there will be at least five for the Royal Navy. This ship will be crucial to the UK’s warship-building industry and will form an important part of the national shipbuilding strategy.
ParlaMint-GB_2016-12-08-lords.u56	My Lords, Sir John Parker has called for disciplined governance processes in the design and specification of the new frigates. Will the Minister therefore tell the House why we should feel confident now, when there has been such a history of failure?
ParlaMint-GB_2016-12-08-lords.u57	My Lords, we will be replying to Sir John’s report in due course. However, he has identified a renaissance in shipbuilding that is emerging in a range of regional companies where he has found an entrepreneurial attitude and an enthusiasm to embrace change. We should be encouraged by that. We need to bottom out those assumptions but we certainly respect the conclusions that Sir John has drawn.
ParlaMint-GB_2016-12-08-lords.u58	My Lords, we welcome Sir John Parker’s report on the national shipbuilding strategy, but does the Minister accept his concern about the existing government policy? He said that fewer, more expensive ships are ordered too late and old ships are retained in service well beyond their sell-by date at a high cost, and that this “vicious cycle”—his words—is depleting the Royal Navy at a great cost to the taxpayer. Sir John urged the speedy construction of new ships, saying that the Navy is being depleted at a rapid pace. In response to my noble friend Lord West of Spithead, the Minister said that the Government would respond next spring. However, in view of the comment that spring could be a little late next year, can he assure us that it will not be that late?
ParlaMint-GB_2016-12-08-lords.u59	I assure the noble Lord that it will not be that late. It is true that the procurement performance of the Ministry of Defence, which lagged for many years, has improved in recent years, as we know from the NAO reports and elsewhere. However, we also knew that surface ship procurement was problematic. That is precisely why we asked Sir John to undertake his work in the first instance, and he has given us some very encouraging pointers.
ParlaMint-GB_2016-12-08-lords.u60	My Lords—
ParlaMint-GB_2016-12-08-lords.u61	My Lords, can my noble friend assure me that, in the event that the Argentinians were so foolish as to attempt another invasion of the Falkland Islands, we would currently have, and in future will have, the capacity to act in the way that we did on the last occasion that such an effort was made?
ParlaMint-GB_2016-12-08-lords.u62	The difference between now and 1982 is that we are more than sufficiently prepared for any such action by the Argentinians.
ParlaMint-GB_2016-12-08-lords.u63	To ask Her Majesty’s Government what action they are continuing to take to bring down the number of women who are victims of gender-based violence.
ParlaMint-GB_2016-12-08-lords.u64	My Lords, I beg leave to ask a Question of which I have given private notice.
ParlaMint-GB_2016-12-08-lords.u65	My Lords, in March this year we published a new Ending Violence against Women and Girls strategy, which sets out an ambitious programme of reform, supported by increased funding of £80 million, to make tackling these crimes everybody’s business, to ensure that victims get the support they need and to bring more perpetrators to justice. We have also introduced a new domestic abuse offence, which captures coercive control, and we have introduced new measures to protect victims of stalking.
ParlaMint-GB_2016-12-08-lords.u66	I am very grateful to the Minister for that Answer. The Women’s Aid and Nia femicide census, published yesterday, paints an extremely worrying picture. Seventy-six per cent of women killed by their ex-partner or ex-spouse were killed in the first year of separation. However, on top of that, today we hear that hundreds of police officers have abused their position of trust to sexually exploit vulnerable people. Can the Minister say what the Government are doing to protect and help women at dangerous and vulnerable times, particularly those who manage to leave abusive relationships to start a new life?
ParlaMint-GB_2016-12-08-lords.u67	The figures released today are absolutely stark. We welcome the work that Women’s Aid has done on the femicide census, and we are committed to working in partnership with it to help improve the response to domestic homicides. Annual statistics on domestic homicide, with a breakdown by gender, are routinely published. The Office for National Statistics has today published aggregated data on domestic homicides over the last three years, broken down at a police force level. Information on women killed by men is also gathered by the Government through domestic homicide reviews, or DHRs, and we have used those data in a DHR lessons learned analysis, which we published yesterday. We have also published updated statutory guidance for DHRs. We will be providing additional funding to roll out further training for chairs of DHRs, and there will be a series of regional events to embed learning and share best practice The noble Baroness also asked about police abuse of authority for sexual gain, which is a very important point. It is another shocking finding. It is important to remember that HMIC findings relate to a very small number of police officers and staff, and the vast majority of over 200,000 police personnel are dedicated and passionate about protecting the public. In the new year, the College of Policing will be releasing updated guidance on police and media relationships. The college has also been asked to consider further the feasibility of developing a new supplementary addendum to the code of ethics. However, that is to take nothing away from the shocking findings of today.
ParlaMint-GB_2016-12-08-lords.u68	My Lords, the Minister has given us a lot of facts, but the truth is that domestic violence and the number of women and girls being murdered is increasing, so whatever it is that the Government are doing, it is not working. That is the problem. Today, 70 Labour MPs have written to the Prime Minister to demand that the Government set a date to ratify the Istanbul convention. The reason why that is important is that all the warm words that we have heard from the Prime Minister, particularly when she was Home Secretary, have not actually led to a decrease in domestic violence. We believe that ratifying this convention and coming forward with a new plan of action that will reduce the level of domestic violence should be a priority, and a funded priority, for this Government.
ParlaMint-GB_2016-12-08-lords.u69	My Lords, I do not entirely concur with the noble Baroness. I concur with her on one point: yes, the level is increasing. However, what is very pleasing is that reporting is increasing. That is the very good news: women feel confident enough to come forward and report. As to what the Government are doing, I will start on her last point about the Istanbul convention. We are committed to ratifying the convention and we need to take extraterritorial jurisdiction over certain offences to be fully compliant. We will do so when parliamentary time allows. However, we are taking extraterritorial jurisdiction over certain things such as FGM and forced marriage. Therefore, we are already undertaking some of our obligations Before I talk more about what the Government are doing, I want to pay tribute to the noble Baroness, who has herself been very involved in this area, as was I in my role in the DCLG and now the Home Office. I was very pleased that, yesterday, stalking protection orders were announced and the national statement of expectation for domestic violence funding on a local level was released. As I said, we also published yesterday analysis about domestic homicide reviews and updated the statutory guidance to ensure that local areas can learn lessons. Last month, the DCLG announced the two-year innovation fund of £20 million to help local areas deal with domestic violence and the seamless journey of women through what is a horrific process. I am sorry that I have gone on a bit too long, but the Government have actually done a lot in this area.
ParlaMint-GB_2016-12-08-lords.u70	My Lords, it is acknowledged that domestic violence is the primary route for women into the criminal justice system. The women’s community centres have done a great deal of work in the past to assist those women in turning their lives around and escaping this cycle of domestic violence. Those centres are under threat because of the malign effects of the transforming rehabilitation programme, brought in during the last government. Will the Minister use the best offices in her own department and in the Ministry of Justice to ensure that those women’s centres are put in a more secure financial position?
ParlaMint-GB_2016-12-08-lords.u71	I pay tribute to all the women’s centres and women’s groups, such as Women’s Aid, and all those people who provide so much support to women whose voices otherwise just would not be heard and who would feel too frightened to come forward. I have outlined some of the funding that we are putting into tackling domestic violence, and I look forward to the fruits of that funding.
ParlaMint-GB_2016-12-08-lords.u72	My Lords, will my noble friend take on a practical solution here with regard to those women in religious-only marriages, who are so often misled as to their legal status and therefore extremely vulnerable? Will she take up what has been suggested in the Casey review: that all marriages, regardless of faith, should be registered, so that the union is legally valid under British law and those women, at least, are more protected?
ParlaMint-GB_2016-12-08-lords.u73	My noble friend makes a very good point. Prior to the Casey review, as my noble friend knows, a sharia review is taking place. One of the worst things I have ever seen is a woman—several women, actually—who had escaped domestic violence from a marriage that was not recognised in law, had no leave to remain in this country and were powerless to do anything, so I fully take on my noble friend’s point.
ParlaMint-GB_2016-12-08-lords.u74	Does the Minister agree that domestic violence and abuse affect women from all backgrounds, all cultures and all faiths— although they overwhelmingly white, in this instance? Seventy-six per cent of the women who have been killed by their partner or ex-partner were killed in the first year. There seems to be a problem with reporting. The cases are being reported as isolated incidents when in fact there has been a pattern of behaviour from the time the woman has fled an abusive relationship, but this has not been logged and reported properly, so there has not been proper follow-up and prevention. Many of these murders could have been prevented, but were not. Please will she respond to that?
ParlaMint-GB_2016-12-08-lords.u75	I am very pleased to respond to the noble Baroness. Yes, domestic abuse is domestic abuse, and it is no respecter of class, religion or country. That is something that we are becoming increasingly aware of. In fact, some of the most silent victims are those in the middle classes, because it is not seen as a middle-class problem. I take on board everything that the noble Baroness said. We are trying to encourage an environment in which women can feel comfortable in coming forward and being able to escape the terrible situations that they are in.
ParlaMint-GB_2016-12-08-lords.u76	That Standing Order 46 (No two stages of a Bill to be taken on one day) be dispensed with on Monday 12 December to enable the Small Charitable Donations and Childcare Payments Bill to be taken through its remaining stages that day.
ParlaMint-GB_2016-12-08-lords.u77	That the debate on the motion in the name of Lord Sterling of Plaistow set down for today shall be limited to three hours and that in the name of Lord Hodgson of Astley Abbotts to two hours.
ParlaMint-GB_2016-12-08-lords.u78	My Lords, this is not really a question to the Leader of the House; it is more an observation about business today and tomorrow. My Bill to end the system of by-elections for hereditary Peers is in Committee tomorrow. It had its Second Reading on 9 September and has sleepily made its way through the procedures of the House. Since 9 September, there were just five amendments tabled, one of which was from me. Coming in this morning expecting a quiet day at the office, I discovered that 59 amendments had been tabled overnight. I make no complaint about that—people use the procedures of the House as they wish to—but I thought it would be for the convenience of the House that I pointed out today that there are nine pages of these amendments for a one-page Bill, which I think is probably a world record. If anyone is thinking of contributing tomorrow, my pointing that out may be helpful, because you will need an hour and a half with a towel over your head to work out the 59 amendments, but we all look forward to getting a successful Committee on the Bill tomorrow.
ParlaMint-GB_2016-12-08-lords.u79	My Lords, has the Leader of the House seen the very damaging publicity to the credibility of the House of Lords arising from the reporting in the national press of the existence of these 59 additional amendments? Is not the Leader of the House and her team rather worried about this? Would it not be wise if she were to prevail on those tabling the amendments to withdraw them to attempt to save the credibility of this institution?
ParlaMint-GB_2016-12-08-lords.u80	My Lords, as the noble Lord graciously said, these amendments were tabled within the tabling deadline. I am afraid I do not have anything further that I can add, but I am sure there will be an interesting debate tomorrow during the course of the Bill.
ParlaMint-GB_2016-12-08-lords.u81	That this House takes note of the impact of the withdrawal from the European Union on the United Kingdom’s armed forces and diplomatic service.
