ParlaMint-GB_2016-06-08-commons.u1	1. What steps the Government is taking to support manufacturing in Northern Ireland.
ParlaMint-GB_2016-06-08-commons.u17	2. What recent discussions she has had on the security situation in Northern Ireland; and if she will make a statement.
ParlaMint-GB_2016-06-08-commons.u18	The Government are determined to do everything possible to keep people in Northern Ireland safe. I meet the Chief Constable, the Justice Minister and others regularly to discuss the security situation. I would like to acknowledge the exceptional work of the Police Service of Northern Ireland, which does an outstanding job tackling the terrorism threat.
ParlaMint-GB_2016-06-08-commons.u19	Will the Secretary of State join me in praising our security services for helping recently to uncover a cache of paramilitary arms? If she can, will she tell the House whether the armaments found were a historical cache or more modern weaponry?
ParlaMint-GB_2016-06-08-commons.u20	The hon. Gentleman will appreciate that there are limits to what I can share with the House, but I can assure him that the police are doing everything they can to bring to justice whoever was responsible for this cache of arms and that efforts, both north and south of the border, remain intense in seeking to press down on the terrorist threat. Sadly, there continues to be a significant amount of activity from small groupings seeking to pursue their aims by terror, but, thankfully, in the vast majority of cases, their plans do not result in harm being carried out, and that is because of the excellent work of the police.
ParlaMint-GB_2016-06-08-commons.u21	11. It is obviously excellent and heartening news that the number of shooting incidents has fallen to its lowest level since 1969, but there obviously remains a credible threat from dissidents. Does the Secretary of State agree that even more needs to be done to choke off funding from organised crime and smuggling on both sides of the border?
ParlaMint-GB_2016-06-08-commons.u22	A huge amount of work is being done on these matters, but my hon. Friend is right that more can always be done. I warmly welcome the publication of the report on paramilitary activity by the panel this week. We have managed to get national security attacks down to 16 in 2015 from 40 at their peak in 2010, but it is crucial that Northern Ireland as a whole moves forward, away from paramilitarism. Many of the recommendations in the panel’s report will help us to achieve the goal of ending paramilitary activity.
ParlaMint-GB_2016-06-08-commons.u23	I am sure the Secretary of State and the whole House will join me in wishing Northern Ireland and the green and white army all the very best in the Euros, which start this Friday. Indeed, I extend that to all the teams involved from the British Isles On a more serious note, on security, the threat level assessment of Irish-related terrorism was recently raised from “moderate” to “substantial” for Great Britain. Has the Secretary of State given further consideration to the calls to increase PSNI numbers by 1,000, as recommended by the Police Federation, and certainly to bring them up to the level recommended by Patten?
ParlaMint-GB_2016-06-08-commons.u24	I share the right hon. Gentleman’s sentiments on the Northern Ireland football team and the other teams from the British Isles. I wish them well in the competition On the security situation, the Government of course support the efforts by the police, not just through the block grant but through the additional security funding, and further funding will be made available to tackle paramilitarism under the “Fresh Start” agreement. It is crucial that every effort be made in this area. The UK Government will continue to do all they can to support efforts to keep people in Northern Ireland safe and secure.
ParlaMint-GB_2016-06-08-commons.u25	The Secretary of State will be aware that the panel set up under the “Fresh Start” agreement reported today on ways to tackle paramilitarism. Some of the recommendations fall within the remit of the Northern Ireland Office. Will she give an initial response to the report, and will she join me, the Northern Ireland Executive and all the parties in Northern Ireland committed to ensuring that the choice for people in Northern Ireland is now clear—either a democratic, peaceful way forward, or facing the courts and prosecution by the police?
ParlaMint-GB_2016-06-08-commons.u26	I can certainly agree with the right hon. Gentleman on those sentiments. It is a continuing tragedy that so many people in Northern Ireland are injured or murdered as a result of these brutal paramilitary-style assaults. My initial reaction to the panel’s report is to welcome it. I think it makes many good points, and I very much look forward to working with the Northern Ireland Executive as they develop their strategy in response to this important report.
ParlaMint-GB_2016-06-08-commons.u27	Following on from that, yesterday’s panel report publication suggests that the PSNI has chosen to engage with some known terrorists rather than arrest them. How concerned is the Secretary of State about that assertion?
ParlaMint-GB_2016-06-08-commons.u28	The panel makes reference to certain contacts that have taken place on an informal basis with some of these groupings. The panel’s report sets out a road map to seeing an end to those kinds of interactions. It is something that we shall work towards in the future because we do not want these organisations to exist any more.
ParlaMint-GB_2016-06-08-commons.u29	3. What discussions she has had with the parties in the Northern Ireland Assembly on the referendum on the UK’s membership of the EU; and if she will make a statement.
ParlaMint-GB_2016-06-08-commons.u30	5. What discussions she has had with the parties in the Northern Ireland Assembly on the referendum on the UK’s membership of the EU; and if she will make a statement.
ParlaMint-GB_2016-06-08-commons.u31	Ministers have regular meetings with representatives of the Northern Ireland parties to discuss a range of issues. The Government’s position is clear: we are safer, stronger and better off in a reformed European Union.
ParlaMint-GB_2016-06-08-commons.u32	Only two countries in the EU run a trade surplus with Britain: Holland and Germany, and the rest have a deficit. If there is Brexit, the rest will vote for tariffs, which would lead to inward investment moving from Northern Ireland into southern Ireland, and it will be the same for extra opportunities and jobs. How can the Minister and indeed the Secretary of State justify supporting Brexit when it will lead to a movement of jobs to the south, along with advancing the cause of unification and the rising of sectarian tensions?
ParlaMint-GB_2016-06-08-commons.u33	If I may correct the hon. Gentleman, I fully support remaining in the European Union, and so do the United Kingdom Government. We are acutely aware of the points he raised, as 87% of the agricultural exports of Northern Ireland go south to the Republic, and we do not want to see any trade barriers put in the way. That is why we want to remain in the European Union.
ParlaMint-GB_2016-06-08-commons.u34	There has been a period in which both Ireland and Britain have been outside the European Union and a period in which they have both been inside it, but if we vote to leave, it will be an historically unprecedented period in which one is out and the other is in. What assessment is the Department making of the impact of that on the border between our great nations?
ParlaMint-GB_2016-06-08-commons.u35	The Government are clear that, should the United Kingdom leave the European Union, the border between the EU and UK will be the land border in Northern Ireland. That will place us outside the customs union, which will mean delay, checks and other reforms that will hamper our ability to export to and import from the Republic of Ireland.
ParlaMint-GB_2016-06-08-commons.u36	Does the Minister not agree that the reality is that trade between Northern Ireland and the Republic of Ireland will continue very much as it has for centuries—regardless of whether we are in or out of the European Union?
ParlaMint-GB_2016-06-08-commons.u37	What my hon. Friend misses is that export into the Republic of Ireland is also a gateway into the rest of the European Union and provides access to 500 million customers for United Kingdom goods. If we leave the European Union, that will, of course, be hampered; there will be a customs union on our borders, which will mean delays and barriers to our trade.
ParlaMint-GB_2016-06-08-commons.u38	The Secretary of State will have noticed the recent significant slowdown in foreign direct investment into Northern Ireland because of the uncertainty about the outcome of the referendum. Has the Secretary of State made any assessment of the impact of a UK exit on the future of job creation and specifically of a British exit decision that might arrest foreign direct investment and render the reduction in corporation tax as of little benefit?
ParlaMint-GB_2016-06-08-commons.u39	It is certainly the view of the United Kingdom that if we leave the European Union, that foreign direct investment would be put under threat. It might go elsewhere in the EU rather than in the UK. We do not want to see that happen; we want to continue to remain in the EU. Luckily, I think for all of us, there is not long to go before we can cast our votes.
ParlaMint-GB_2016-06-08-commons.u40	The EU debate has focused over the last few days on migration. Does the Minister agree that migrants have brought in great skills to Northern Ireland, and will he clarify how he sees migration working after Brexit, if we leave?
ParlaMint-GB_2016-06-08-commons.u41	What is often missed by people who want us to leave the European Union is the fact that, owing to our United Nations obligations under the 1951 treaty, the 1967 appendix and the 1984 and 1989 convention rights, if we did leave we would have to continue to take people who come to our shores seeking asylum and refuge. We would still not be able to decide 100%. Only North Korea can do that, and I do not fancy following North Korea.
ParlaMint-GB_2016-06-08-commons.u42	During his discussions with the Northern Ireland parties, has the Minister said whether he thinks that it would help the police if we left the European Union, given that, before the introduction of the European arrest warrant, extradition took, on average, a year rather than the 48 days that it takes now, and given that 162 criminals have been removed from Northern Ireland since 2009 through the use of the arrest warrant?
ParlaMint-GB_2016-06-08-commons.u43	The hon. Gentleman is absolutely correct. The ability to remove people whom we do not want so that they face trial elsewhere in Europe is a very powerful tool for our forces of law and order in Northern Ireland. We have deported 190 people to face trial, including terrorists from Spain, and we have managed to bring back 34 people to face justice in the United Kingdom. That is a tool that we need: it keeps people safe in Northern Ireland and in the United Kingdom as a whole, and to turn our backs on it would be foolish.
ParlaMint-GB_2016-06-08-commons.u44	I agree with what the Minister has said, even if his own Secretary of State does not. Both the Chancellor and the Northern Ireland Office have spelt out the consequences for the border of leaving the EU. Moreover, I have a copy of a letter to the Newry Chamber of Commerce & Trade in which the Home Office also spells out the potential consequences for the common travel area, given that an estimated 30,000 people cross the border every day. The letter states: “If the UK left the EU these arrangements would be put at risk.” Does the Minster agree, and has he told the Northern Ireland parties that?
ParlaMint-GB_2016-06-08-commons.u45	The common travel area existed before the European Union, but the hon. Gentleman is absolutely right. It is totally unclear what arrangements would exist after a Brexit. That is why the best solution is to remain in the European Union, so that we can take advantage of both the single market and the free travel of people, skills and trade that we enjoyed before membership.
ParlaMint-GB_2016-06-08-commons.u46	4. What steps the Government is taking to tackle the increased terrorism threat in Great Britain from Northern Ireland.
ParlaMint-GB_2016-06-08-commons.u47	Our first duty is to keep people safe, and we give our full support to the police and the intelligence services. The threat level in Great Britain recently changed to “substantial”, meaning that an attack by dissidents is a strong possibility. People should be vigilant and alert, but not alarmed.
ParlaMint-GB_2016-06-08-commons.u48	Police and prison officers who tirelessly serve the community day in and day out are often the targets of republican dissident activity. What measures are being taken to mitigate the risk that they face?
ParlaMint-GB_2016-06-08-commons.u49	An extensive range of measures are being taken. The protection of police and prison officers is at the heart of our efforts to counter the terrorist threat in Northern Ireland, because the threat that they face is one of the most serious faced by any profession. The additional security funding provided by the Government under the “Fresh Start” agreement is contributing to necessary protections for the police and prison officers who do such an important job for our whole community, and we will continue to do all that we can to protect them.
ParlaMint-GB_2016-06-08-commons.u50	Does the Secretary of State agree that, while we face a threat from dissident republicans in Northern Ireland, the greatest such threat comes from the Republic of Ireland, as has been demonstrated by the recent arms and explosives finds and arrests, and does she agree that those dissident republicans have the capacity to launch campaigns on the UK mainland?
ParlaMint-GB_2016-06-08-commons.u51	It is certainly true that dissident republican terrorist groupings have the aspiration to attack in Great Britain. Their main focus remains Northern Ireland, but they do have that capability and lethal intent. Every effort is being made to counter their activities, including their activities south of the border, through the co-operation that now exists between the police services and other security organisations in the north and the south.
ParlaMint-GB_2016-06-08-commons.u52	6. What discussions she has had with the Irish Government on cross-border efforts to stop organised crime and terrorism.
ParlaMint-GB_2016-06-08-commons.u53	In December, as part of the implementation of the “Fresh Start” agreement, I attended a meeting with the Irish Government and Northern Ireland Executive at which we agreed on new measures to enhance co-operation on cross-border organised crime.
ParlaMint-GB_2016-06-08-commons.u54	I strongly welcome the arrangements that have been agreed as part of the “Fresh Start” agreement, but does the Secretary of State agree that there must be both strategic and operational co-operation to dismantle gangs and their activities?
ParlaMint-GB_2016-06-08-commons.u55	I would agree, and that is exactly what is happening. The new joint agency taskforce established as a result of the “Fresh Start” agreement enables exactly that kind of operational co-operation on cross-border crimes such as fuel laundering, human trafficking and drug smuggling, and I welcome the progress that has been made on that.
ParlaMint-GB_2016-06-08-commons.u56	Does the Secretary of State agree that is really important that cross-border crime should be tackled as part of the follow-up to the panel’s report on paramilitary activity? It will continue whether we are in the European Union or outside it, and it must be tackled head on.
ParlaMint-GB_2016-06-08-commons.u57	There is absolute determination on the part of the Governments of the UK and Ireland and the law enforcement agencies of both countries that we should continue to do everything we can to co-operate in countering the terrorist threat and the criminality associated with terrorist and paramilitary groups.
ParlaMint-GB_2016-06-08-commons.u58	The Secretary of State must recognise how much organised crime—including cross-border crime—is derived from paramilitarism, and how much it uses networks and assets that have been accrued under paramilitary campaigns. Does she therefore agree that any serious effort to eradicate paramilitarism on a whole-community and whole-enforcement basis cannot ignore such criminal enterprises with menaces, which are the vestiges of paramilitarism?
ParlaMint-GB_2016-06-08-commons.u59	I agree, and it will be well worth considering the views in the panel’s report on the laws that apply to organised crime in Scotland and the ways of cracking down on this kind of criminality there. It will be worth considering whether we could learn lessons from Scotland and impose statutory changes of that nature in Northern Ireland
ParlaMint-GB_2016-06-08-commons.u60	7. What assessment she has made of the potential implications for border controls and security in Northern Ireland of the UK leaving the EU.
ParlaMint-GB_2016-06-08-commons.u61	Having the UK and Ireland in the EU guarantees the free movement of people and goods across the border, boosting cross-border co-operation and trade. The UK and Ireland will always co-operate closely on security matters, but membership of the EU enhances our ability to co-operate with member states to combat crime and terrorism and keep our country safe.
ParlaMint-GB_2016-06-08-commons.u62	The most passionate Europhile I know is the Irish ambassador to the UK, Dan Mulhall. He says that, in the event of Brexit, the principles of the Good Friday agreement and the common travel area would be maintained. Rather than inflating fears about the border, is it not incumbent on our Minister to de-escalate and deflate those straw men?
ParlaMint-GB_2016-06-08-commons.u63	I know that the hon. Gentleman is a keen campaigner for Brexit and he no doubt also wants to control his borders. He cannot have it both ways. He cannot want to control his borders and make checks while letting everything just carry on as normal. With all due respect to the Republic of Ireland, it would be up to the European Union to decide what it did on the border of its customs union and not necessarily up to individual states. That is why Brexit would put our safety at risk and put barriers to trade across that border.
ParlaMint-GB_2016-06-08-commons.u64	As has been mentioned, we have had a common travel area between southern Ireland and Northern Ireland and the United Kingdom as a whole for 100 years. What reassurances can the Minister give me that, regardless of the outcome of the referendum—he will know that I back remain—cross-border co-operation and security will remain a priority in Westminster and in Stormont?
ParlaMint-GB_2016-06-08-commons.u65	We will of course seek continued security co-operation. No one is alleging that that would stop, but we would perhaps lose the European arrest warrant, Europol and all the organisations that allow us to build trust and to carry out successful intelligence work in order to counter terrorism.
ParlaMint-GB_2016-06-08-commons.u66	Does the Minister agree that it is inconceivable that there would be no changes to the current cross-border arrangements if the UK were to leave the EU? Will he urge the Secretary of State finally to admit that she is wrong to say that there would be no such changes, primarily because this is a matter not just for her but for the Irish Government, and Ireland would still be in the European Union?
ParlaMint-GB_2016-06-08-commons.u67	The hon. Gentleman is correct. There are two options for what happens at the border: either there would be more controls at the UK’s border with the Republic of Ireland and the European Union, or there could be an internal border within the United Kingdom similar to the one we had after the war, but I do not think that the Unionists in Northern Ireland would want that at all.
ParlaMint-GB_2016-06-08-commons.u68	Will the Minister of State assure me that the amicable relationship between the United Kingdom and the Republic of Ireland will continue, no matter what the outcome of the referendum, and that any adjustments that need to be made when we vote to leave the EU will be decided through mutual agreement between the two nations? That is the way in which all business should be done.
ParlaMint-GB_2016-06-08-commons.u69	Were the United Kingdom to choose to leave the European Union, the negotiations about what would happen between the sovereign state of the United Kingdom and the European Union would be done between the European Union and that country. The Republic of Ireland would therefore have a say in that, but it would not have an overall say on the terms of our exit. That is why the best solution is to remain in the European Union and to take advantage of its security, because we are better, safer and stronger in it.
ParlaMint-GB_2016-06-08-commons.u70	Given that Brexit will threaten policing and security in the communities of the United Kingdom of Great Britain and Northern Ireland and in the communities of Ireland, will the Minister advise the Secretary of State to get out and campaign for the European arrest warrant to remain in place and for a remain vote on 23 June?
ParlaMint-GB_2016-06-08-commons.u71	It is delightful to hear the Scottish National party talk about Great Britain from time to time. We will of course be delighted to ensure that we maintain the European arrest warrant and our membership of Europol by staying in the European Union, so I suggest that we all get out and campaign.
ParlaMint-GB_2016-06-08-commons.u72	Q1. If he will list his official engagements for Wednesday 8 June.
ParlaMint-GB_2016-06-08-commons.u73	This morning I had meetings with ministerial colleagues and others, and in addition to my duties in this House, I will have further such meetings later today.
ParlaMint-GB_2016-06-08-commons.u74	Emily Davison died on 8 June 1913. Yesterday, we commemorated women’s suffrage and the importance of votes for women—and women voting for women, of course. Thousands wanted to register to vote yesterday but were unable to due to massive demand. Will the PM update the House on what he is doing to ensure that everyone has the chance to register to vote and can do so in this vital vote for a generation?
ParlaMint-GB_2016-06-08-commons.u75	First of all, let me join my hon. Friend in remembering what the suffragettes stood for, what they achieved and the fact that we achieved universal suffrage in this country. She raises voter registration and I am sure that the whole House will want to know what the situation is. Look, it is extremely welcome that so many people want to take part in this massive democratic exercise and in this vital decision for our country. Last night, there was record demand on the gov.uk website from people concerned that they might not be registered to vote in the referendum, which overloaded the system. I am clear that people should continue to register today. The Electoral Commission made a statement this morning, urging the Government to consider options that would effectively extend the deadline, which should include legislative options, and we are doing that and discussing it with the commission today. We are working urgently with it to do just that and to ensure that those who register today and those who registered last night will be able to vote in the EU referendum.
ParlaMint-GB_2016-06-08-commons.u76	I think it would be appropriate if the House recognised and remembered the life of Muhammad Ali. He was not only the greatest in his chosen field, but someone whose courage and wit inspired so many. Indeed, I had the honour of meeting him in London in the 1980s and met his wife Lonnie with Doreen Lawrence only a couple of weeks ago. I think we should commend his bravery in facing Parkinson’s disease and his courageous campaigning on civil rights, anti-racism and peace. Truly, all of us have lost one of the greatest Yesterday, I met some workers from Sports Direct who were coming to Parliament to give evidence to the Select Committee on Business, Innovation and Skills about the company’s shocking behaviour, including non-payment of the minimum wage and a culture of intimidation and fear on top of the insecurity and exploitation of zero-hours contracts. Philip wrote to me this week with his concerns and said that the scandalous scourge of zero-hours contracts is blighting the lives of many already low-paid people. Will the Prime Minister do what some other European countries have done and ban exploitative zero-hours contracts here?
ParlaMint-GB_2016-06-08-commons.u77	Let me join the Leader of the Opposition in paying tribute to the life of Muhammad Ali. He was a hero in the ring and an enormous role model outside the ring. What he did in terms of breaking down barriers and encouraging integration is something we should all celebrate. When standing at this Dispatch Box, I am sure that we all try to float like a butterfly and sting like a bee, although that is not always possible in the circumstances that we face On Sports Direct, I absolutely abhor the appalling practice of not paying the minimum wage, and this Government have done more than any previous Government to crack down on non-payment. We have levied almost 5,000 penalties since 2010. We continue to name and shame eligible employers when the investigation has been closed, something which did not happen before. Penalties for not paying the minimum wage are at a record high, and the total value of penalties last year was over 15 times bigger than in 2010. On top of our national living wage, we are going after unscrupulous employers and making sure that people get the deal that they deserve On the issue of zero-hours contracts, we legislated in the last Parliament to stop exclusive zero-hours contracts, but we followed the conclusions of our consultation, which said that we should not go further than that and that some people want to have the choice of those contracts.
ParlaMint-GB_2016-06-08-commons.u78	The case of Sports Direct shows that Mike Ashley certainly is not Father Christmas. Indeed, he makes Scrooge look like a good employer. I think we should commend Unite the union and its members for exposing what went on. It shows that we must strengthen, not weaken, workers’ rights, particularly when criminal activity is involved However, the Government’s Employment Minister, the right hon. Member for Witham (Priti Patel), said that if we leave Europe, “we could just halve the burdens of the EU social and employment legislation” Perhaps the Prime Minister can help us. Does she speak on behalf of the Government when she promises to reduce the “burdens”, as she describes them, of employment legislation, or on behalf of whom does she speak?
ParlaMint-GB_2016-06-08-commons.u79	The Government are in favour of staying in a reformed European Union because we are stronger, safer and better off. One reason that many people will want to stay in the European Union is that they believe it provides an underpinning of rights for workers and employment rights. I would make the point, in addition, that we in this House have repeatedly chosen to go over and above those rights: we have had the right to request flexible working for all workers since 2014; we went well beyond the EU directive on maternity leave by giving 52 weeks’ maternity leave; we have provided shared parental leave; and we give eight days more annual leave to full-time workers than the EU working time directive. I believe that this modern, compassionate Conservative Government have an excellent record on these things, underpinned by our membership of the European Union.
ParlaMint-GB_2016-06-08-commons.u80	If this is a modern, compassionate Conservative Government, as the Prime Minister describes them, why do they have an Employment Minister who wants to reduce the “burdens”, as she describes them, of employment legislation and make work less secure? I will quote one other person who has given some opinions on these matters: “I can’t guarantee every person currently in work in their current job will keep their job.” That was the right hon. Member for Surrey Heath (Michael Gove), who is the Justice Secretary. He seems equally relaxed about employment rights. The Prime Minister has an Employment Minister and a Justice Secretary who want to reduce workers’ protections, which they describe as a “burden”. Can’t he do something about that?
ParlaMint-GB_2016-06-08-commons.u81	As the right hon. Gentleman knows, we are holding a referendum. That is what is happening. The Government have a very clear position, which is that we are stronger, safer and better off inside the European Union. That is the advice that we are giving to voters in our country, but of course there are Ministers in the Government who, in a personal capacity, are campaigning on another side of the argument. I do not agree with them—I do not agree with what my right hon. Friend the Member for Surrey Heath (Michael Gove) said and I do not agree with what my right hon. Friend the Member for Witham (Priti Patel) said. I could not be clearer about that. The Government have a clear position. On this issue, not only do the right hon. Gentleman and I agree—not only do the Conservative Government and the Labour party agree—but we have the support of the Liberal Democrats, the support of the Ulster Unionist party and the support of the Green party. This is one occasion when business, large and small, and the trade unions are on the same side. I think that we should celebrate that, and get out and campaign as hard as we can.
ParlaMint-GB_2016-06-08-commons.u82	What I do celebrate is the work done by trade unions all across Europe that persuaded the European Union to bring in four weeks’ paid holiday, laws against sex discrimination, rights for part-time workers and rights for agency workers Two weeks ago, I raised with the Prime Minister the proposed amendment to the posting of workers directive, which would close a loophole that allows unscrupulous employers to exploit migrant workers and undercut wages here. Will he now reply to my question and confirm that he will argue in Europe for that amendment to close the loophole that allows this exploitation to go on?
ParlaMint-GB_2016-06-08-commons.u83	As I have said, we support the current draft. We want to see this sorted out. We have been working with the Dutch Prime Minister who is leading this work, and we think that an amendment would be worth while. The current draft is good and we back it.
ParlaMint-GB_2016-06-08-commons.u84	I am very pleased that the Prime Minister backs the amendment, but I hope that he backs it to ensure that it goes through. Another issue that I raised with him a couple of weeks ago is the anger over tax avoidance that exists all over this country and indeed all over the western world. I agree that we are more likely to make progress on tax avoidance inside the European Union than outside it, but his Members of the European Parliament have not been supporting country-by-country tax transparency, which would force companies to publish their tax payments in each country in which they operate. Will he now tell us when that will be supported by his MEPs and when it will go through so that we can close down just one of the many tax loopholes that currently exist?
ParlaMint-GB_2016-06-08-commons.u85	I would argue that no Government have done more nationally to crack down on tax evasion and aggressive tax avoidance. I would also argue that no Government have done more internationally to bring this up the international agenda: I made it the centrepiece at the G8; we have driven change in the OECD; and we are now driving change in the European Union. Let me confirm that my MEPs do support country-by-country reporting, and they have said that over and again, and I am happy to repeat it again today.
ParlaMint-GB_2016-06-08-commons.u86	I am really pleased that the Prime Minister’s MEPs support this transparency; we are all delighted about that. I just hope that they get round to voting for it when the opportunity comes up, because that would certainly help. He will be aware that Labour’s position is that we want to stay in the European Union to improve workers’ rights, tackle exploitation, and drive down tax evasion and tax avoidance, but we are concerned that those issues are not the priorities of members of his Government and his party, such as the hon. Member for Uxbridge and South Ruislip (Boris Johnson), and the right hon. Members for Surrey Heath and for Witham. They are talking about trying to destroy any of the social advances made within the European Union. Does he talk to them about that at any time? Do they speak for themselves or for him and his Government? If they speak for themselves, how are they Ministers at the same time?
ParlaMint-GB_2016-06-08-commons.u87	Here I am trying to be so consensual. I am doing my best. I could mention that the right hon. Member for Birmingham, Edgbaston (Ms Stuart) was out yesterday spinning for Nigel Farage, but I do not want to play that game. I want to stress the unity of purpose that exists, particularly over the issue of tax evasion, because there is a serious point here. What we have in prospect in the European Union, in part because of British action, is the idea of saying that if large foreign multinationals want to invest in the European Union, they will have to report their country-by-country tax arrangements not just in Europe, but all over the world. That could drive a huge change in some of these very large companies in which there are great concerns. I hope that the right hon. Gentleman and I can unite and say that this would be a good thing, as it shows that when Britain pushes an agenda in Europe it wins, and it wins for our citizens.
ParlaMint-GB_2016-06-08-commons.u88	Q2. The Prime Minister has repeatedly stated that he secured changes to reform the EU. Will he now confirm that, on 23 June, the voters are not guaranteed any treaty change in EU law as no treaty change was achieved despite a promise to deliver one, and that an international agreement cannot change EU law? Finally, will he stop denigrating our great country, because it is a sign, if any were needed, that he is losing the argument?
ParlaMint-GB_2016-06-08-commons.u89	I know that my hon. Friend has very strong views on this issue, and I have very strong views on it, too. On the specific point that he raises, I am afraid that he is not correct. In the renegotiation, we secured two vital treaty changes: one on getting Britain out of ever-closer union; and the other on the protection for our currency. I do not accept for one minute that supporting Britain being a member of a reformed European Union is in any way doing our country down. If you love your country, you want it to be strong in the world. If you love your country, you want opportunities for your young people. If you love your country, you do not want to act in a way that could lead to its break-up. That is why what I want to see is not Nigel Farage’s little England, but a strong Britain in Europe.
ParlaMint-GB_2016-06-08-commons.u90	Last week, thousands of dead from both sides in the battle of Jutland were remembered in commemorations in which the Prime Minister joined the First Minister, the Princess Royal and the President of Germany, along with thousands of other people, on Orkney to remember the tragedy of so many people losing their life. European co-operation emerged from both world wars as the best way to secure peace, so does the Prime Minister agree that we should never take peace and security for granted, and that that is a strong reason to remain in the European Union?
